Top queries,Clicks,Impressions,CTR,Position
부헨발트 수용소,31,64,0.4844,2.72
아우슈비츠 생존자,31,57,0.5439,2.07
나치 강간,31,46,0.6739,2.43
히틀러 공약,31,41,0.7561,1.0
독일 나치,30,1498,0.02,5.84
t4 작전,30,152,0.1974,5.26
히틀러 지지율,30,131,0.229,3.31
아우슈비츠 강제 수용소,30,112,0.2679,3.26
홀로 코스트,30,95,0.3158,2.39
제 2차 세계대전 요약,30,82,0.3659,3.02
뉘른베르크 재판 판결문,30,80,0.375,3.75
독일 아우슈비츠 수용소,30,56,0.5357,1.93
2차대전 참전 순서,30,50,0.6,1.0
유대인 독일,30,49,0.6122,1.02
2차 세계대전 연표,30,48,0.625,1.52
히틀러 당선,30,48,0.625,1.85
독일계 유대인,30,41,0.7317,1.54
베르사유조약,29,872,0.0333,4.37
인종차별주의자,29,614,0.0472,2.42
폴란드 유대인,29,138,0.2101,3.72
반제 회의,29,99,0.2929,2.28
엘리위젤,29,93,0.3118,3.33
hitler youth,29,85,0.3412,2.12
아우슈비츠 실험,29,55,0.5273,1.0
전쟁범죄 처벌 사례,29,53,0.5472,2.94
나치독일,28,15092,0.0019,5.52
난민,28,6129,0.0046,9.81
라인하르트 하이드리히,28,2847,0.0098,6.51
2차 세계대전 참전국,28,499,0.0561,5.58
아이히만 재판,28,331,0.0846,7.24
1936 베를린 올림픽,28,288,0.0972,2.07
final solution,28,73,0.3836,1.59
바비야르,28,71,0.3944,1.14
2차 세계대전 항복 국가,28,59,0.4746,1.31
1차 세계대전 독일,28,59,0.4746,2.53
2차 세계대전 사망자 수,28,58,0.4828,1.05
베르사유 조약 내용,28,58,0.4828,4.02
히틀러 흑인,28,53,0.5283,1.02
히틀러 장애인 명언,28,51,0.549,1.06
2차 세계대전 공식 참전 날짜,28,44,0.6364,1.0
홀로코스트 피해자 수,28,42,0.6667,1.0
나치가 유대인을 싫어한 이유,28,42,0.6667,1.12
2차세계대전 참전 순서,28,38,0.7368,1.0
아돌프,27,12769,0.0021,7.14
바르샤바 봉기,27,1021,0.0264,4.44
세계 1차 대전 원인,27,814,0.0332,5.62
로마니,27,756,0.0357,4.4
히틀러 대사,27,159,0.1698,5.55
1차 세계대전 결과,27,139,0.1942,4.17
나의 투쟁 pdf,27,77,0.3506,6.36
뉘른베르크 전범재판,27,75,0.36,3.77
히틀러 민주주의,27,66,0.4091,1.2
2차세계대전 시작,27,62,0.4355,1.15
나치 선동,27,55,0.4909,1.24
세계 2차대전 사망자,27,51,0.5294,1.06
나치 처벌,27,45,0.6,1.0
제노사이드 홀로코스트,27,44,0.6136,1.82
홀로코스트란,27,42,0.6429,1.62
히틀러 올림픽,27,41,0.6585,1.12
마우트하우센,27,40,0.675,2.95
2차 세계대전 유대인 학살,27,37,0.7297,1.0
how many people died in the holocaust,27,36,0.75,1.0
제2차 세계대전 원인,26,308,0.0844,4.92
reichstag fire,26,115,0.2261,1.94
히틀러 나치,26,106,0.2453,3.09
1차 세계대전 패전국,26,99,0.2626,2.98
일차세계대전,26,91,0.2857,3.57
장애인 학살,26,76,0.3421,1.01
포그롬 뜻,26,44,0.5909,1.57
아리안족 게르만족,26,43,0.6047,2.16
2차 세계대전 홀로코스트,26,40,0.65,1.02
독일 나치 수용소,26,36,0.7222,1.28
나치 인종주의,26,35,0.7429,1.0
독일,25,36733,0.0007,14.93
1차 세계 대전,25,630,0.0397,3.94
전범재판,25,261,0.0958,5.3
유대인 여자,25,238,0.105,3.19
세계2차대전 사망자수,25,52,0.4808,1.23
나치 장애인,25,49,0.5102,2.2
비엘스키,25,45,0.5556,1.33
히틀러 민족주의,25,34,0.7353,1.47
первая мировая война кратко,25,30,0.8333,1.3
почему немцы убивали евреев,25,28,0.8929,1.0
세계 1차 대전,24,1238,0.0194,3.81
회스,24,691,0.0347,6.36
weimar republic,24,406,0.0591,3.35
괴벨스 연설,24,345,0.0696,5.88
1차 세계대전 연합국,24,96,0.25,1.19
시온의정서 pdf,24,58,0.4138,3.21
나치 선전물,24,44,0.5455,1.45
스와티카,24,37,0.6486,1.0
홀로코스트 피해자,24,34,0.7059,1.06
제1차세계대전 요약,24,32,0.75,1.0
나치 동성애,24,32,0.75,1.03
집시 학살,24,28,0.8571,1.0
폴란드,23,20455,0.0011,16.94
hitler,23,17246,0.0013,9.84
나의투쟁,23,13063,0.0018,7.17
전쟁범죄,23,4019,0.0057,4.3
인종 차별,23,3734,0.0062,7.27
gestapo,23,1306,0.0176,3.58
pogrom,23,614,0.0375,3.66
первая мировая война,23,614,0.0375,5.25
독일의 폴란드 침공,23,185,0.1243,3.29
인종차별의 역사,23,113,0.2035,7.39
나치 수용소 영화,23,103,0.2233,2.33
전쟁 시체 디시,23,78,0.2949,8.03
2차세계대전 종전일,23,71,0.3239,1.2
2차 세계대전 미국 참전,23,56,0.4107,2.89
我的奋斗,23,47,0.4894,6.06
2차세계대전 사상자,23,44,0.5227,1.05
유대인 탄압,23,42,0.5476,1.07
독일 가스실,23,41,0.561,1.9
전쟁시체,23,41,0.561,4.2
소련 독일,23,38,0.6053,1.45
2차세계대전 사진,23,35,0.6571,1.03
1차 세계대전 이후 독일 경제,23,30,0.7667,1.0
히틀러 정치,23,29,0.7931,1.0
holocaust timeline,23,28,0.8214,1.29
세계 대전,22,4619,0.0048,6.01
학살자,22,741,0.0297,2.9
holocaust 뜻,22,403,0.0546,3.46
베를린올림픽,22,182,0.1209,2.1
simone weil,22,141,0.156,5.63
아우슈비츠 뜻,22,125,0.176,2.31
犹太人,22,124,0.1774,5.06
트레블링카 수용소,22,121,0.1818,2.41
2차 세계대전 참전국 순서,22,85,0.2588,2.12
라인하르트 작전,22,72,0.3056,2.25
시온의정서 전문,22,53,0.4151,3.02
1차 세계대전 동맹국,22,47,0.4681,1.09
폴란드 아우슈비츠 수용소,22,47,0.4681,2.38
나치 학살,22,41,0.5366,1.66
나치의 만행,22,39,0.5641,2.33
나치 유대인 수용소,22,38,0.5789,1.63
나치 강제 수용소,22,35,0.6286,1.97
홀로코스트 사망자,22,31,0.7097,1.45
2차,21,6252,0.0034,4.29
adolf eichmann,21,1795,0.0117,6.7
제1차 세계 대전,21,643,0.0327,2.65
안네프랑크,21,518,0.0405,4.28
스바스티카,21,369,0.0569,2.74
세계2차대전 원인,21,334,0.0629,5.36
2차 세계대전 추축국,21,77,0.2727,3.96
폴란드 유대인 학살,21,49,0.4286,1.31
1차 세계대전 전개과정,21,47,0.4468,2.28
2차 세계대전 영국,21,46,0.4565,2.2
바르샤바 게토,21,34,0.6176,1.82
뉘른베르크 전범재판 결과,21,33,0.6364,1.58
아리아인 독일,21,32,0.6562,1.22
학살 사진,21,29,0.7241,1.0
blitzkrieg,20,2778,0.0072,6.24
총살,20,1693,0.0118,7.14
라인란트 재무장,20,1547,0.0129,5.67
인종차별 기사,20,1367,0.0146,7.68
소비보르,20,163,0.1227,2.71
독일 전쟁,20,134,0.1493,3.83
히틀러 측근,20,85,0.2353,3.15
2차 세계대전 결과 및 영향,20,77,0.2597,4.75
2차세계대전 요약,20,37,0.5405,2.62
2차세계대전 결과,20,31,0.6452,1.0
how many jews died in ww2,20,30,0.6667,1.07
러시아 독일 전쟁,20,29,0.6897,1.83
바이마르 공화국,19,11625,0.0016,6.71
인종,19,11237,0.0017,9.26
요제프 괴벨스,19,2814,0.0068,9.19
제2차 세계 대전,19,1021,0.0186,5.11
2차 세계 대전,19,796,0.0239,4.0
lebensraum,19,332,0.0572,4.52
짐크로우법,19,191,0.0995,5.51
괴벨스 유대인,19,161,0.118,4.75
aryan race,19,150,0.1267,2.69
질서경찰,19,92,0.2065,4.0
1차 2차 세계대전 사망자 수,19,70,0.2714,4.26
2차대전 종전일,19,53,0.3585,1.3
시온의정서 디시,19,51,0.3725,3.08
히틀러 연설문 발음,19,51,0.3725,4.16
아우슈비츠 비르케나우,19,49,0.3878,2.76
나치 연설,19,41,0.4634,3.8
유대인 경찰,19,32,0.5938,3.38
히틀러 연설 전문,19,32,0.5938,5.06
이탈리아 유대인,19,31,0.6129,1.42
나치 집권,19,27,0.7037,2.59
night of broken glass,19,26,0.7308,1.42
세계2차대전 참전 순서,19,23,0.8261,1.0
제1차대전에서,19,22,0.8636,3.05
아우슈비츠 학살,19,21,0.9048,1.38
first they came for the socialists,19,20,0.95,1.0
괴링,18,11977,0.0015,7.41
genocide,18,6561,0.0027,7.65
에바 브라운,18,3497,0.0051,5.59
aryan,18,1144,0.0157,5.63
제 1 차 세계 대전,18,576,0.0312,3.07
anschluss,18,198,0.0909,3.02
히틀러 생애,18,112,0.1607,3.78
뉘른베르크 국제군사재판,18,96,0.1875,2.6
히틀러 부하,18,72,0.25,2.89
나의투쟁 txt,18,70,0.2571,4.83
세계제1차대전,18,52,0.3462,4.71
2차 세계대전 참전 국가 순서,18,43,0.4186,2.79
독일 소련,18,41,0.439,2.46
독일 러시아 전쟁,18,38,0.4737,2.26
2차세계대전 종전,18,37,0.4865,1.14
홀로코스트 관련 영화,18,34,0.5294,1.35
인종차별주의,18,32,0.5625,3.34
부정론자,18,30,0.6,2.03
아리아 인종,18,25,0.72,2.28
뉘른베르크 재판 아이히만,18,25,0.72,3.32
2차 세계대전 순서,18,23,0.7826,1.0
홀로코스트 생존자 증언,18,23,0.7826,1.0
제2차 세계 대전 사망자 수,18,23,0.7826,1.26
히틀러 전쟁,18,20,0.9,3.0
덴마크,17,29816,0.0006,15.73
죽음,17,6579,0.0026,12.97
선전,17,5847,0.0029,8.53
불가침,17,3786,0.0045,7.44
antisemitism 뜻,17,604,0.0281,2.23
체코슬로바키아 지도,17,215,0.0791,2.42
제1차 세계대전 원인,17,182,0.0934,5.08
구출,17,142,0.1197,6.79
시온 의정서,17,74,0.2297,3.59
히틀러 쿠데타,17,55,0.3091,3.53
wannsee conference,17,48,0.3542,2.0
dachau concentration camp,17,47,0.3617,5.36
독일 제3제국,17,46,0.3696,3.11
인종차별 정의,17,43,0.3953,3.93
인종차별 역사,17,43,0.3953,5.93
아유슈비츠,17,32,0.5312,1.66
홀로코스트 부정,17,29,0.5862,1.76
2차대전 미국 참전,17,28,0.6071,2.25
우생학 히틀러,17,28,0.6071,3.29
홀로코스트 학살,17,24,0.7083,1.12
헝가리 유대인,17,24,0.7083,3.33
유태인 학살 이유,17,20,0.85,1.55
반제,16,5282,0.003,6.68
독가스,16,2230,0.0072,5.62
아리안,16,1288,0.0124,7.62
토론주제,16,800,0.02,10.45
schutzstaffel,16,525,0.0305,4.07
세계대전 1차,16,192,0.0833,3.57
2차 세계대전 원인 히틀러,16,166,0.0964,3.29
엘리 비젤,16,97,0.1649,4.01
나치 히틀러,16,73,0.2192,3.59
나치 사진,16,45,0.3556,1.73
잉게,16,41,0.3902,5.1
홀로코스트 소비보르탈출,16,33,0.4848,2.21
martin niemöller,16,33,0.4848,2.73
나치 전범 재판,16,32,0.5,2.09
시온 장로 의정서,16,32,0.5,3.25
아우슈비츠 수용소 해방,16,30,0.5333,1.0
아리아인 게르만족,16,30,0.5333,2.0
독일의 소련 침공,16,29,0.5517,1.0
독일 소련 전쟁,16,29,0.5517,1.69
나치 사상,16,29,0.5517,3.28
아우슈비츠 인간실험,16,28,0.5714,1.0
2차 세계대전 발발,16,27,0.5926,1.0
홀로코스트 사진 디시,16,26,0.6154,3.77
베르겐벨젠,16,25,0.64,1.76
우생학 나치,16,25,0.64,3.68
인종 이데올로기,16,24,0.6667,1.0
독일 나치 교육,16,21,0.7619,1.43
유태인의,16,19,0.8421,4.37
나치 영화,15,1636,0.0092,5.18
undress 디시,15,587,0.0256,17.64
spanish civil war,15,500,0.03,3.9
강제노동,15,160,0.0938,3.34
독일 히틀러,15,154,0.0974,4.68
einsatzgruppen,15,138,0.1087,2.14
다하우 수용소,15,130,0.1154,3.35
2차 세계대전 일본,15,124,0.121,6.57
장애인 안락사,15,110,0.1364,5.42
유대인 학살 영화,15,96,0.1562,4.23
세계대전 인권침해 사례,15,44,0.3409,2.8
1차 세계대전 피해,15,40,0.375,2.95
독일 나치즘,15,38,0.3947,2.76
1차 세계대전 배경,15,38,0.3947,2.89
뉘른베르크 원칙,15,37,0.4054,1.62
第一次世界大战,15,35,0.4286,2.29
1차 세계대전 특징,15,34,0.4412,2.15
나치 재판,15,33,0.4545,2.0
독일 유대인 수용소,15,29,0.5172,1.07
영국 독일 전쟁,15,28,0.5357,2.04
히틀러가 죽인 사람 수,15,23,0.6522,1.35
크리스탈 나흐트,15,22,0.6818,1.05
게르만 우월주의,15,22,0.6818,2.14
히틀러 집권 과정,15,16,0.9375,1.0
ghetto,14,7380,0.0019,5.07
나치 뜻,14,1742,0.008,6.89
절멸수용소,14,700,0.02,6.82
유대인 유태인,14,262,0.0534,6.01
히틀러 사진,14,179,0.0782,2.59
2차 세계대전 원인,14,166,0.0843,6.08
dietrich bonhoeffer,14,163,0.0859,7.97
아리아족,14,76,0.1842,2.87
제 2차세계대전,14,76,0.1842,3.63
하켄크로이츠 스와스티카,14,65,0.2154,3.63
sonderkommando,14,60,0.2333,2.12
1차 세계대전 원인,14,55,0.2545,5.35
홀로코스터,14,50,0.28,1.82
로마니 집시,14,46,0.3043,2.57
2차대전 사상자,14,37,0.3784,1.08
유대인 나치,14,33,0.4242,1.36
나치 정권,14,29,0.4828,2.86
1차 세계대전 사망자,14,29,0.4828,3.31
안네 프랑크 은신처,14,29,0.4828,4.0
나치 인체실험,14,28,0.5,5.61
독일 안락사,14,27,0.5185,2.89
나치 소련,14,24,0.5833,2.25
반나치,14,22,0.6364,1.68
2차대전 사진,14,21,0.6667,1.24
eichmann trial,14,20,0.7,1.2
nuremberg law,14,19,0.7368,1.11
반사회주의자,14,19,0.7368,6.05
세계 2차대전 참전 순서,14,14,1.0,1.07
anne frank,13,7117,0.0018,11.77
헤르만 괴링,13,4920,0.0026,7.74
게토 뜻,13,1946,0.0067,4.42
안네,13,1547,0.0084,6.74
2차대전 영화,13,574,0.0226,7.77
짐 크로우,13,425,0.0306,4.37
히틀러 명대사,13,370,0.0351,4.62
유태인 유대인,13,152,0.0855,5.5
다하우 강제 수용소,13,97,0.134,3.78
아우슈비츠 가스실 벽,13,77,0.1688,5.09
2차 세계대전 인권침해 사례,13,71,0.1831,2.77
concentration camps,13,70,0.1857,1.93
t4작전,13,67,0.194,6.09
사상교육,13,63,0.2063,2.11
2차 세계대전 패전국,13,57,0.2281,3.11
alfred rosenberg,13,51,0.2549,3.0
world war 2 timeline,13,35,0.3714,4.26
베르사이유 조약,13,28,0.4643,4.25
오스카르 쉰들러,13,25,0.52,3.76
세계2차대전 사망자,13,24,0.5417,1.0
히틀러 대사 발음,13,23,0.5652,6.04
히틀러 게르만족,13,22,0.5909,2.5
2차 세계대전 과정,13,20,0.65,1.0
영국 유대인 학살,13,20,0.65,1.9
소비보르 수용소,13,19,0.6842,2.05
