Top queries,Clicks,Impressions,CTR,Position
hitler kaç insan öldürdü,127,731,0.1737,2.61
varşova nerede,126,39278,0.0032,2.8
i dünya savaşı'nın sonuçları,126,10093,0.0125,4.81
ikinci dünya savaşı tarafları,125,8626,0.0145,4.76
hitler neden yahudileri sevmiyor,125,310,0.4032,1.01
1945 yılında ne oldu,124,7807,0.0159,1.04
ermeni soykırım,124,917,0.1352,3.31
ikinci dünya savaşı ne zaman bitti,123,4659,0.0264,1.07
miğfer devletler,123,3614,0.034,1.09
siyon liderlerinin protokolleri,123,641,0.1919,2.12
2.dünya savaşı mihver devletler,122,2162,0.0564,1.11
weimar cumhuriyeti,121,15219,0.008,3.19
1880 osmanlı haritası,121,475,0.2547,1.0
dr mengele deneyleri,121,195,0.6205,1.18
antisemitizm nedir,120,8608,0.0139,1.75
1819 osmanlı haritası,120,1750,0.0686,1.55
birinci dünya savaşı tarafları,120,1060,0.1132,1.04
hitler'in konuşması türkçe,120,386,0.3109,2.44
müttefik devletler,119,26352,0.0045,5.53
eichmann,119,4891,0.0243,4.0
auschwitz ne demek,119,3618,0.0329,1.88
osmanlı toprakları haritası,119,3305,0.036,1.17
1 dünya savaşı kimler arasında oldu,118,3193,0.037,1.03
martin niemöller sözleri,118,305,0.3869,1.82
первая мировая война,117,4451,0.0263,5.22
adolf hitler konuşma,117,255,0.4588,2.03
hitler konuşması almanca,117,249,0.4699,4.24
swastika,116,48855,0.0024,4.9
osmanli haritasi,116,5898,0.0197,1.95
naziler yahudileri neden,116,755,0.1536,1.56
hitler konuşması türkçe,116,156,0.7436,1.74
hitler yahudi mi,115,3519,0.0327,4.36
hitler deneyleri,115,159,0.7233,1.28
hitler paris,114,17141,0.0067,3.03
yunanistan siyasi haritası,114,2449,0.0465,1.17
yunanistan'ın haritası,114,557,0.2047,1.71
svastika,113,31235,0.0036,4.07
adolf eichmann kimdir,113,686,0.1647,2.32
hitler neden yahudileri sevmiyordu,113,264,0.428,1.14
yahudiler neden sevilmiyor,113,217,0.5207,1.0
ikinci dünya savaşı sonuçları,111,3096,0.0359,3.68
2. dünya savaşı haritası,111,1680,0.0661,2.4
2. dünya savaşında kaç yahudi öldü,110,1377,0.0799,1.26
önce yahudiler için geldiler,110,252,0.4365,2.27
nazi gaz odaları,110,233,0.4721,1.0
mussolini,109,73262,0.0015,10.26
önce komünistleri almaya geldiler sesimi çıkarmadım,109,319,0.3417,2.47
nazi işareti,108,44054,0.0025,3.9
1. dünya savaşı kimler arasında oldu,108,2446,0.0442,1.04
auschwitz toplama kampı filmleri,108,1502,0.0719,7.03
holocaust encyclopedia,108,125,0.864,1.0
pogrom ne demek,107,7282,0.0147,2.42
adolf hitler konuşması türkçe,107,189,0.5661,2.25
dünyadaki yahudi nüfusu,106,6987,0.0152,4.9
struma,106,6248,0.017,4.36
birinci dünya savaşı sonuçları,106,5178,0.0205,4.71
i dünya savaşı'na katılan ittifak devletleri hangileridir,106,3689,0.0287,1.1
2.dunya savasi,106,3319,0.0319,3.36
1. dünya savaşı konu anlatımı,106,312,0.3397,3.71
ermeni soykırımını kim yaptı,105,238,0.4412,1.95
itilaf devletlerinin isimleri,104,7011,0.0148,1.3
1.dünya savaşının sonuçları,104,4357,0.0239,4.63
adolf hitler kaç kişiyi katletti,104,378,0.2751,2.34
boykot sloganları,104,329,0.3161,1.88
hitler neden yahudilere düşman,104,151,0.6887,1.01
ermeni soykırımını kim başlattı,103,443,0.2325,1.02
nazilerin deneyleri,103,144,0.7153,1.55
antisemitizm ne demek,102,6604,0.0154,1.7
hitler kac yahudi öldürdü,102,174,0.5862,1.64
nazi doktorları,102,169,0.6036,1.25
itilaf devletleri ittifak devletleri,101,1244,0.0812,1.09
1915 olayları nedir kısaca özeti,101,425,0.2376,1.58
2.dünya savaşı kaç yıl sürdü,100,3459,0.0289,1.08
геноцид армян,100,1075,0.093,2.57
hitler yaptıkları,100,169,0.5917,1.0
sovyetler birliği ne zaman kuruldu,99,8084,0.0122,3.67
naziler kaç kişiyi öldürdü,99,136,0.7279,1.04
1.dunya savasi,98,3527,0.0278,4.81
sözde ermeni soykırımı,98,598,0.1639,3.86
polonya harita,97,9254,0.0105,3.32
hitler kaç kişiyi katletti,97,2437,0.0398,3.3
ikinci dünya savaşı neden çıktı,97,711,0.1364,1.13
1. dünya savaşı nedenleri,96,30790,0.0031,7.1
ermeni,96,25149,0.0038,8.04
itilaf devletleri ve ittifak devletleri,96,2163,0.0444,1.36
schindler kimdir,96,1044,0.092,2.69
babi yar katliamı,96,316,0.3038,2.95
adolf eichmann savunması,96,191,0.5026,1.54
how many people did hitler kill,96,164,0.5854,1.0
hitler 1. dünya savaşı,95,310,0.3065,2.43
gaz odaları nasıl çalışır,95,197,0.4822,2.01
hitler neden yahudi düşmanı,95,181,0.5249,1.31
israil'in kuruluşu,94,4679,0.0201,4.89
osmanlı harita,94,2754,0.0341,1.16
i dünya savaşı'ndaki itilaf devletleri,93,5317,0.0175,1.04
1.dünya savaşı itilaf devletleri,93,3060,0.0304,1.09
2. dünya savaşı almanya'nın işgal ettiği yerler,93,502,0.1853,1.48
tarihteki soykırımlar,93,216,0.4306,2.85
adolf hitler sözleri almanca,93,198,0.4697,2.76
birinci dünya savaşı özet,93,164,0.5671,1.13
antisemitist ne demek,92,11492,0.008,2.1
2.dünya savaşı ne zaman bitti,92,3973,0.0232,1.02
adolf hitler'in sözleri,92,3821,0.0241,6.28
önce sosyalistler için geldiler,92,144,0.6389,1.01
lebensraum,91,10356,0.0088,4.09
2.dünya savaşı tarihi,91,4944,0.0184,2.73
zyklon b,91,3023,0.0301,3.26
hitler sözleri almanca,91,295,0.3085,3.66
yahudiler almanyaya ne zaman geldi,91,151,0.6026,2.01
adolf hitler kaç insan öldürdü,91,123,0.7398,1.43
versailles antlaşması,90,5607,0.0161,3.11
1910 osmanlı haritası,90,938,0.0959,1.03
irkçılık ile ilgili yazılar,90,158,0.5696,1.09
1 dünya savaşı sonuçları,89,4248,0.021,4.59
i dünya savaşı'na katılan ittifak devletleri,89,3383,0.0263,1.08
2. dünya savaşı itilaf ve ittifak devletleri,89,1351,0.0659,1.18
almanlar yahudilere ne yaptı,89,535,0.1664,2.59
1. dünya savaşı hakkında bilgi,89,195,0.4564,2.42
dachau,88,5328,0.0165,5.81
itilaf devletleri kimlerdir,88,4466,0.0197,1.27
nuremberg mahkemesi,88,2778,0.0317,3.13
naziler neden yahudileri öldürdü,88,161,0.5466,1.0
naziler kaç kişi öldürdü,88,114,0.7719,1.09
eski yugoslavya haritası,87,2557,0.034,1.54
kristallnacht,87,2018,0.0431,2.44
2. dünya savaşı neden başladı,87,616,0.1412,1.02
1. dunya savasi,86,3549,0.0242,4.67
nazi almanyası haritası,86,2159,0.0398,2.83
ikinci dünya savaşı mihver devletler,86,878,0.0979,1.05
hitler yahudiler,86,580,0.1483,1.49
adolf hitler yahudiler,86,411,0.2092,1.15
hitler neden yahudileri,86,339,0.2537,1.03
sözde ermeni soykırımı nedir kısaca eodev,86,283,0.3039,1.42
schindler,85,18498,0.0046,6.62
mihver devlet ne demek,85,6400,0.0133,1.96
holokost cenderesi ne demek,85,786,0.1081,2.44
1890 osmanlı haritası,85,308,0.276,1.0
hitler yahudilere ne yaptı,85,263,0.3232,2.02
adolf hitler neler yaptı,85,214,0.3972,2.38
adolf hitler kaç kişiyi öldürdü,85,122,0.6967,1.24
1. dünya savaşında kaç kişi öldü,84,8649,0.0097,3.49
hitler kimleri öldürdü,84,520,0.1615,2.68
hitler hayatı,84,315,0.2667,4.63
hitler neler yaptı,84,176,0.4773,2.02
2. dünya savaşı kaç kişi öldü,83,10130,0.0082,4.44
holocaust nedir,83,6709,0.0124,2.24
2. dünya savaşını kim başlattı,83,4351,0.0191,1.04
refah holocaust ne demek,83,1598,0.0519,1.0
yahudi p****,83,227,0.3656,1.11
almanya rusya savaşı,82,13054,0.0063,4.54
soykırımlar,82,3699,0.0222,4.33
ari ırkı kimlerden oluşur,82,1493,0.0549,1.15
nazi propaganda,82,594,0.138,2.1
gaz odası,82,592,0.1385,1.95
hitler'in konuşması almanca sözleri,82,370,0.2216,4.72
2. dünya savaşında kaç kişi öldü,81,15975,0.0051,4.48
ii. dünya savaşı,81,6506,0.0125,4.12
israil nasıl kuruldu,81,5410,0.015,8.01
i dünya savaşı kimler arasında oldu,81,1885,0.043,1.06
versay antlaşması sonuçları,81,317,0.2555,1.57
adolf hitler'in konuşması,81,136,0.5956,1.73
2 dunya savasi kac yilinda olmustur,80,10166,0.0079,3.38
israil kuruluşu,80,8801,0.0091,5.02
adolf hitler speech,80,416,0.1923,4.79
1915 olayları ve ermeni tehciri hakkında kısa bilgi,80,327,0.2446,2.01
adolf hitler neden sansürlü,80,191,0.4188,1.01
nazi ne demek,79,34415,0.0023,8.16
olimpiyatlar,79,22439,0.0035,25.87
2.dünya savaşı nedenleri,79,5643,0.014,7.34
ermeni meselesi nedir kısaca özet,79,2757,0.0287,6.96
aryan ırk,79,2431,0.0325,3.09
2.dünya savaşı müttefik devletler,79,826,0.0956,1.09
adolf hitler yahudi mi,79,689,0.1147,3.03
hitler seçim konuşması almanca,79,104,0.7596,1.29
2. dunya savasi,78,4085,0.0191,3.31
2.dünya savaşı tarafları,78,4039,0.0193,5.32
selanik haritası,78,1890,0.0413,1.34
berlin olimpiyatları,78,1665,0.0468,2.89
ermeni soykiriminin kisa bir tarihi,78,844,0.0924,4.05
nazi kampı görüntüleri,78,356,0.2191,2.42
almanya nazi kampı,78,266,0.2932,1.62
adolf hitler neden yahudileri öldürdü,78,178,0.4382,1.15
2. dünya savaşı önemli olaylar,78,153,0.5098,2.41
ermeni soykırımı oldu mu,78,144,0.5417,1.49
struma faciası,77,1763,0.0437,3.46
hitler'in sözleri almanca,77,1034,0.0745,5.36
haj amin al husseini,77,831,0.0927,1.64
nazi doktoru,77,782,0.0985,1.91
nazi partisinin 3 temel esası,77,225,0.3422,1.12
yahudi protokolleri,77,110,0.7,1.45
goebbels,76,34879,0.0022,10.45
swastika nedir,76,6154,0.0123,3.54
nuremberg duruşması,76,3661,0.0208,6.61
holokost filmleri,76,3292,0.0231,5.42
2.dünya savaşında japonyaya savaş ilan eden ülkeler,76,927,0.082,1.04
josef mengele kimdir,76,463,0.1641,1.87
hitler'in ünlü konuşması,76,151,0.5033,1.31
soykırımlar tarihi,76,136,0.5588,1.04
naziler ve yahudiler,76,132,0.5758,1.0
mein kampf,75,13158,0.0057,5.73
schindler'in listesi,75,5201,0.0144,8.23
ribbentrop,75,3964,0.0189,3.34
hitler yahudi miydi,75,1589,0.0472,5.97
1.dunya savaşı,75,1028,0.073,5.03
yahudi kampları,75,552,0.1359,2.4
naziler hakkında bilgiler,75,432,0.1736,4.24
2. dünya savaşı özet pdf,75,389,0.1928,5.0
ivan marchenko,75,308,0.2435,2.82
adolf hitler konuşması almanca,75,164,0.4573,4.07
israil devleti ne zaman kuruldu,74,7631,0.0097,4.57
bergen belsen,74,755,0.098,2.38
2 dünya savaşı nasıl başladı,74,413,0.1792,1.04
naziler yahudileri nasıl katletti,74,354,0.209,1.92
hitler neden yahudileri oldurdu,74,179,0.4134,1.0
dünya savaşındaki ittifak devletleri,73,3022,0.0242,1.02
19 nisan 1943,73,653,0.1118,1.24
josef mengele kırkayak deneyi,73,155,0.471,1.06
sovyetler birliği,72,97233,0.0007,8.86
getto,72,35566,0.002,4.51
1.dünya savaşı ne zaman başladı,72,17191,0.0042,3.36
nürnberg duruşmaları,72,994,0.0724,3.16
2. dunya savasinda mihver ve muttefik devletler,72,883,0.0815,1.05
birinci dünya savaşı neden çıktı,72,833,0.0864,1.1
ermeni soykırımı var mı,72,160,0.45,1.89
siyon protokolleri nedir,72,157,0.4586,2.92
adolf hitler konuşma metni türkçe,72,101,0.7129,1.39
nazi almanyası nedir,71,3278,0.0217,5.38
1912 osmanlı haritası,71,2330,0.0305,1.05
auschwitz nedir,71,1221,0.0581,1.87
ermeni olayı,71,266,0.2669,3.22
hitler yahudileri neden sevmiyor,71,138,0.5145,1.15
ikinci dünya savaşı kısa özet,71,105,0.6762,1.5
ikinci dünya savaşı nedenleri,70,4059,0.0172,6.54
yahudi sürgünleri,70,360,0.1944,3.23
adolf hitler'in hayatı,70,280,0.25,4.08
almanların yahudileri yaktığı fırınlar,70,191,0.3665,1.49
nazilerin yaptıkları,70,124,0.5645,1.0
hitler sözleri,69,3148,0.0219,6.52
1881 osmanlı haritası,69,1975,0.0349,1.03
3. reich,69,1504,0.0459,3.42
ermeni mezalimi,69,1155,0.0597,5.39
2. dünya savaşını bitiren antlaşma,69,596,0.1158,1.04
ermeni katliami,69,394,0.1751,3.86
toplama kampı,68,5450,0.0125,4.55
anti semitizm,68,4300,0.0158,1.64
2 dunya savasini baslatan olay nedir,68,690,0.0986,1.02
nazi olayı nedir,68,457,0.1488,2.2
eichmann davası,68,164,0.4146,2.05
ermeni soykirimi nedir,68,135,0.5037,2.84
nürnberg yasaları maddeleri,68,98,0.6939,1.45
osmanlı devleti haritası,67,6149,0.0109,3.5
2. dünya savaşının sonuçları,67,4894,0.0137,4.74
adolf hitler doğum,67,2882,0.0232,2.23
kristal gece nedir,67,1349,0.0497,1.55
1. dünya savaşı özeti pdf,67,1106,0.0606,7.32
hacı emin el hüseyni,67,836,0.0801,3.92
1 dünya savaşı nasıl başladı,67,802,0.0835,1.12
albert speer,66,16343,0.004,10.09
adolf hitler paris,66,7987,0.0083,2.77
osmanlı haritası en büyük,66,2649,0.0249,1.66
atina haritası,66,1557,0.0424,2.14
1923 osmanlı haritası,66,1259,0.0524,1.01
nazi soykırımı,66,521,0.1267,3.82
2. dünya savaşı müttefik devletler ve liderleri,66,409,0.1614,1.01
yahudiler almanlara ne yaptı,66,138,0.4783,2.32
1 dünya savaşı hangi ülkeler arasında olmuştur,65,1274,0.051,1.01
2.dunya savaşı,65,1136,0.0572,2.98
hitler dönemi,65,877,0.0741,2.86
2. dünya savaşı başlama nedeni,65,787,0.0826,1.02
2. dunya savasinda japonyaya savas ilan eden ulkeler,65,611,0.1064,1.04
üçüncü reich,65,380,0.1711,2.4
2. dünya savaşı antlaşmaları,65,338,0.1923,3.07
геноцид армян в турции,65,109,0.5963,1.11
getto ne demek,64,59561,0.0011,6.22
