Top queries,Clicks,Impressions,CTR,Position
gypsies,1780,265895,0.0067,5.1
world war 2,1770,623373,0.0028,6.78
how many children died in the holocaust,1762,6223,0.2831,1.01
beer hall putsch,1754,117924,0.0149,4.26
the protocols of the elders of zion,1751,17344,0.101,1.99
klaus barbie,1746,79762,0.0219,5.86
how many jews were killed in ww2,1743,18975,0.0919,2.03
hitler timeline,1740,6510,0.2673,1.7
what were the nuremberg laws?,1739,17384,0.1,1.04
what was kristallnacht?,1733,23057,0.0752,1.05
invasion of poland,1728,127448,0.0136,3.85
how many people died from the holocaust,1720,7788,0.2209,1.07
hitlers final solution,1709,8300,0.2059,1.05
when did antisemitism start,1709,7062,0.242,1.2
what percentage of jews died in the holocaust,1701,4318,0.3939,1.12
map of concentration camps,1697,3893,0.4359,1.01
what was the armenian genocide,1681,11002,0.1528,1.4
how many died in holocaust,1678,8699,0.1929,1.01
concentration camps ww2,1664,6980,0.2384,1.04
pogroms,1651,122526,0.0135,3.14
nazi party,1645,172051,0.0096,4.46
axis powers ww2,1645,163599,0.0101,2.78
what was the nazi party,1645,10403,0.1581,1.42
nazi death camps,1625,8884,0.1829,1.73
ss st louis,1621,9816,0.1651,2.02
where were the concentration camps,1620,6016,0.2693,1.69
german american bund,1619,25744,0.0629,2.21
hitler propaganda,1619,13898,0.1165,1.03
julius streicher,1613,41252,0.0391,3.11
holocaust experiments,1612,4081,0.395,1.01
auschwitz images,1593,23052,0.0691,2.42
buchenwald concentration camp photos,1592,6004,0.2652,1.26
how many jews were killed during the holocaust,1583,16508,0.0959,1.98
how many were killed in the holocaust,1579,6681,0.2363,1.04
swastika meaning,1576,96250,0.0164,4.46
how many did hitler kill,1574,8821,0.1784,1.02
bielski brothers,1572,11783,0.1334,2.25
dietrich bonhoeffer,1563,190290,0.0082,8.02
death march,1562,59129,0.0264,3.27
elders of zion,1537,19651,0.0782,2.34
concentration camp map,1532,4354,0.3519,1.0
what is the aryan race,1514,13578,0.1115,1.81
holocaust pictures,1510,39479,0.0382,4.11
joseph mengele,1509,27284,0.0553,2.52
bayer nazi,1478,6408,0.2306,2.01
effects of the holocaust,1477,4029,0.3666,1.01
where are gypsies from,1471,46040,0.032,1.51
children of the holocaust,1458,7550,0.1931,1.93
how many jews killed in holocaust,1449,8014,0.1808,1.43
nicholas winton,1436,292261,0.0049,11.21
concentration camp,1414,220157,0.0064,5.83
the ss,1409,32608,0.0432,2.58
cilka klein,1403,6633,0.2115,4.91
when did ww2 end,1400,1005029,0.0014,5.47
the night of the broken glass,1392,7739,0.1799,1.48
lilly malnik,1392,5677,0.2452,2.88
what happened in concentration camps,1387,3933,0.3527,1.11
plaszow concentration camp,1385,10297,0.1345,1.86
book burning,1384,21871,0.0633,2.26
hitler's rise to power,1378,17451,0.079,3.3
jewish ghetto,1365,14610,0.0934,1.4
liberation of concentration camps,1361,7493,0.1816,1.46
"nazis coined the term ""the final solution."" to what does this term refer?  why did they use this language?",1356,6053,0.224,1.03
what are the nuremberg laws,1355,7066,0.1918,1.17
what did the nazi ss guards pretend the gas chambers were?,1355,5260,0.2576,1.0
aftermath of the holocaust,1355,3105,0.4364,1.0
blitzkrieg ww2,1345,26243,0.0513,1.21
why do people hate jews,1343,48822,0.0275,6.64
auschwitz concentration camp,1342,36469,0.0368,4.12
jewish resistance,1341,5507,0.2435,1.0
lvov poland map,1337,1792,0.7461,1.02
why are jews hated,1331,26181,0.0508,5.6
how many jews died in holocaust,1331,17155,0.0776,1.99
final solution holocaust,1330,4513,0.2947,1.03
krakow ghetto,1325,6957,0.1905,1.14
chiune sugihara,1314,21754,0.0604,4.21
what happened to the jewish population in europe?,1310,4887,0.2681,1.02
liberation of dachau,1305,6270,0.2081,1.99
concentration camps holocaust,1305,5405,0.2414,1.02
children in the holocaust,1300,3850,0.3377,1.01
hitler kill count,1299,9892,0.1313,1.5
ww2 map,1292,72169,0.0179,1.33
anschluss,1290,168675,0.0076,3.44
ghettos holocaust,1289,5387,0.2393,1.0
how long did ww2 last,1288,108638,0.0119,1.59
benito mussolini,1278,631808,0.002,9.73
what happened during kristallnacht,1260,6962,0.181,1.41
doctor mengele,1259,9817,0.1282,1.4
how many jews died in world war 2,1252,11047,0.1133,1.81
nazi germany,1249,393394,0.0032,7.01
volkswagen nazi,1249,6690,0.1867,1.04
ww2,1244,873511,0.0014,8.67
aushwitz,1241,139847,0.0089,5.13
farhud,1238,12444,0.0995,2.11
introduction to the holocaust,1238,2661,0.4652,1.01
sighet,1233,28174,0.0438,2.4
what were concentration camps,1226,13004,0.0943,1.67
joseph goebbels,1218,435756,0.0028,7.46
holocaust ghettos,1218,5685,0.2142,1.03
concentration camp locations,1218,2501,0.487,1.22
what was hitler's final solution,1217,6522,0.1866,1.07
timeline of the holocaust,1216,6722,0.1809,2.16
babyn yar,1211,8190,0.1479,1.85
ss nazi,1207,41169,0.0293,2.2
stutthof concentration camp,1196,5672,0.2109,1.16
when did hitler come to power,1188,60481,0.0196,2.85
how many jews were killed by hitler,1178,3735,0.3154,1.37
why did japan enter ww2,1175,20232,0.0581,1.12
what happened on kristallnacht,1171,5007,0.2339,1.12
how did the treaty of versailles lead to ww2,1170,47671,0.0245,2.4
when did the holocaust begin,1170,21253,0.0551,2.1
warsaw uprising,1160,82692,0.014,3.35
martin niemoller quote,1156,2483,0.4656,1.09
what did the nazis do,1151,7470,0.1541,1.06
segunda guerra mundial,1142,87958,0.013,3.38
wansee conference,1139,9590,0.1188,1.6
father charles coughlin,1136,21328,0.0533,2.39
niemoller,1134,7476,0.1517,3.14
how many people died in the armenian genocide,1130,5331,0.212,1.0
nuremberg law,1129,9698,0.1164,1.32
schutzstaffel,1127,90296,0.0125,3.01
burning of the reichstag,1126,10976,0.1026,2.0
battle of the bulge,1125,518130,0.0022,6.99
how many jews did the nazis kill,1125,4520,0.2489,1.06
aktion t4,1122,16109,0.0697,2.56
ritchie boys,1120,10243,0.1093,2.31
how did hitler use propaganda,1120,3658,0.3062,1.03
judenrat,1117,24743,0.0451,2.78
darfur genocide timeline,1115,9483,0.1176,2.27
how hitler came to power,1111,8012,0.1387,2.11
vel d'hiv,1108,4041,0.2742,1.47
how long was ww2,1098,115751,0.0095,1.92
bonhoeffer,1094,111431,0.0098,4.95
how many people survived the holocaust,1093,22294,0.049,3.58
what happened after the holocaust,1091,2496,0.4371,1.22
who did hitler kill,1090,9696,0.1124,1.02
the warsaw ghetto uprising,1090,3326,0.3277,1.18
holocaust encyclopedia nazi propaganda,1090,1264,0.8623,1.0
how many jews died in concentration camps,1089,5522,0.1972,1.58
nazi soviet pact,1087,29925,0.0363,1.51
what is genocide,1084,303002,0.0036,4.12
ravensbrück,1083,5925,0.1828,2.17
what is the final solution,1078,9498,0.1135,1.37
when they came for me quote,1076,2053,0.5241,1.16
when did the holocaust take place,1070,22262,0.0481,2.07
ww2 concentration camps,1069,3693,0.2895,1.02
how many ghettos were established,1068,4453,0.2398,1.03
how many concentration camps were there in ww2,1068,3540,0.3017,1.01
"at the height of its operation, how many people were gassed daily at  auschwitz?",1060,4064,0.2608,1.11
jan karski,1058,13640,0.0776,4.07
what was the kristallnacht,1058,8666,0.1221,1.31
what was the ss,1054,13503,0.0781,1.66
number of jews killed in holocaust,1054,3566,0.2956,1.03
how long was elie wiesel imprisoned,1054,3515,0.2999,1.01
the jewish question,1053,14131,0.0745,2.77
holocaust numbers,1049,5525,0.1899,1.25
holocaust id cards,1049,1628,0.6443,1.0
wwii timeline,1047,36307,0.0288,4.43
world war 2 map,1044,28551,0.0366,1.04
niemoller quote,1040,2004,0.519,1.05
what laws excluded the jews from public life in germany?,1033,6214,0.1662,1.0
the white rose,1024,25098,0.0408,5.75
how many jews died,1023,12530,0.0816,1.62
the holocaust period,1020,22661,0.045,2.1
the reichstag fire,1019,7393,0.1378,1.53
lilly appelbaum malnik,1018,3757,0.271,2.43
hitlers youth,1017,5788,0.1757,1.56
salonika greece,1016,10160,0.1,6.08
what was the “final solution”?,1015,8890,0.1142,1.01
third reich,1010,241606,0.0042,4.84
nazi book burnings,1010,4890,0.2065,1.57
german invasion of poland,1009,42604,0.0237,3.08
when did soviet forces start liberating territory from german domination?,1000,8125,0.1231,1.19
the holocaust encyclopedia,999,1417,0.705,1.0
what is the holocaust,997,119768,0.0083,4.34
angel of death holocaust,997,4630,0.2153,1.02
what were the nuremburg laws,995,5278,0.1885,1.22
the holocaust: a learning site for students,995,1253,0.7941,1.0
war refugee board,994,10184,0.0976,1.15
what are gypsies,990,80288,0.0123,2.46
holocost,987,45812,0.0215,1.99
babi yar massacre,987,7206,0.137,1.79
they came for the socialists,986,1699,0.5803,1.0
facts about concentration camps,985,3441,0.2863,1.09
protocols of zion,983,11284,0.0871,2.47
was hitler a fascist,982,16255,0.0604,2.17
what year was the holocaust,980,43842,0.0224,2.25
holocaust photos,980,18876,0.0519,4.51
charles coughlin,978,27424,0.0357,2.88
first they came,971,16656,0.0583,3.41
auschwitz poland,967,109439,0.0088,7.06
who did the nazis target,966,4268,0.2263,1.72
when did germany invade poland,965,119080,0.0081,1.35
eichmann trial,961,6463,0.1487,1.41
start of ww2,958,43557,0.022,1.75
the final solution holocaust,955,2465,0.3874,1.02
final solution definition ww2,947,9091,0.1042,1.0
drancy,947,5643,0.1678,3.8
mussolini,946,163833,0.0058,9.84
what is aryan,941,18188,0.0517,2.7
what is the jewish question,937,4074,0.23,1.61
hitlers rise to power,936,9770,0.0958,3.45
the hitler youth,934,4381,0.2132,1.14
what was the hitler youth,927,4358,0.2127,1.15
pogram,924,45382,0.0204,1.85
mauthausen,920,30275,0.0304,5.92
nazi propoganda,919,5514,0.1667,1.01
what were the goals of the nuremberg laws?,919,4606,0.1995,1.17
primera guerra mundial,918,54393,0.0169,2.58
holocaust propaganda,915,3919,0.2335,1.0
how many people did hitler kill?,914,3153,0.2899,1.05
inge auerbacher,905,8696,0.1041,1.87
ravensbruck concentration camp,905,4527,0.1999,1.7
where were the concentration camps located,904,2243,0.403,1.0
majdanek,903,20332,0.0444,4.04
first concentration camp,902,6615,0.1364,1.22
how many ghettos were established?,898,5143,0.1746,1.03
encyclopedia.ushmm.org,891,1192,0.7475,1.0
consentration camps,890,6949,0.1281,1.17
jewish concentration camps,890,4469,0.1991,1.0
holocaust statistics,889,2813,0.316,1.79
arian race,888,36210,0.0245,3.07
what was the third reich,886,16264,0.0545,2.41
simon wiesenthal,885,40977,0.0216,4.95
concentration camps map,885,2319,0.3816,1.0
how much people did hitler kill,884,5427,0.1629,1.08
what was the wannsee conference,881,5437,0.162,1.19
rudolf hess,879,239915,0.0037,8.36
why did germany invade poland,879,51480,0.0171,3.11
nazi rise to power,875,2636,0.3319,1.01
did hitler hate black people,872,6039,0.1444,1.27
where did the swastika originate,870,12670,0.0687,2.47
holocaust concentration camp,868,4070,0.2133,1.0
nazi racism,863,2637,0.3273,1.0
why did the nazis burn books,862,3658,0.2356,1.18
gas chambers,861,38000,0.0227,3.42
breckinridge long,861,4169,0.2065,2.33
martin niemöller,859,11975,0.0717,3.44
swastika image,858,17231,0.0498,3.52
death march holocaust,858,2349,0.3653,1.0
munich agreement,857,92939,0.0092,3.7
what was the final solution ww2,856,3668,0.2334,1.0
what is judaism,854,113359,0.0075,5.07
holocaust tattoo,854,12736,0.0671,1.77
reichstag fire decree,853,6971,0.1224,2.37
czechoslovakia,852,840546,0.001,7.25
map of nazi concentration camps,851,1421,0.5989,1.0
nazi party platform,850,1533,0.5545,1.0
what did the nuremberg laws do?,849,9125,0.093,1.05
map of poland 1939,846,1801,0.4697,1.0
mussolini history,845,17729,0.0477,1.44
westerbork,844,5222,0.1616,1.92
how many people hitler killed,844,2957,0.2854,1.01
russian revolution of 1917,841,57096,0.0147,4.47
the gestapo,841,14929,0.0563,3.33
what did the nuremberg race laws do?,837,3615,0.2315,1.0
where were the first ghettos set up?,834,5885,0.1417,1.26
history of the swastika,832,5340,0.1558,2.25
what did hitler say about jews,829,1893,0.4379,1.02
paragraph 175,828,4901,0.1689,1.68
the holocaust a learning site for students,826,1037,0.7965,1.0
what were ghettos,823,5112,0.161,1.11
pearl harbor,822,142511,0.0058,6.09
holocaust events,821,2974,0.2761,1.53
auschwitz location on map,821,2218,0.3702,1.02
how many people died because of hitler,820,3083,0.266,1.02
first they came for the jews,816,4250,0.192,2.13
how did hitler become dictator,813,12862,0.0632,3.47
hitler olympics,812,8058,0.1008,1.95
what was the first concentration camp,810,5054,0.1603,1.0
hitler speech in german,809,9699,0.0834,4.83
holocaust victims,808,17431,0.0464,2.94
the enabling act,807,13299,0.0607,2.26
hitler rise to power,807,10889,0.0741,3.09
neville chamberlain,805,262185,0.0031,7.58
sobibor uprising,804,2495,0.3222,1.12
aryan meaning,800,160115,0.005,6.78
concentration camps in poland,797,7558,0.1055,3.36
who did hitler target,795,3602,0.2207,1.54
bertha adler,792,3157,0.2509,1.03
who was involved in the holocaust,790,11243,0.0703,2.27
bayer nazi history,785,5892,0.1332,3.03
what is the ss,783,15024,0.0521,1.63
when did wwii start,781,88541,0.0088,1.83
german propaganda ww2,780,4495,0.1735,1.0
the enabling act of 1933,779,6250,0.1246,3.56
when was the armenian genocide,778,14782,0.0526,1.51
enabling act of 1933,777,13944,0.0557,3.2
did hitler kill black people,772,3814,0.2024,1.59
there was no one left to speak for me,772,1394,0.5538,1.0
kristallnacht meaning,771,12084,0.0638,1.8
aryan race definition,769,7042,0.1092,1.26
john demjanjuk,767,63607,0.0121,8.15
how did the nazis rise to power,767,2086,0.3677,1.02
white rose resistance,766,28433,0.0269,5.03
nazi human experimentation,766,5701,0.1344,2.85
what fraction of european jews were killed by the nazis and their allies?,765,4514,0.1695,1.0
appeasement ww2,763,66875,0.0114,3.42
what was the final solution?,758,10775,0.0703,1.05
how many people died during holocaust,756,2922,0.2587,1.01
who was oskar schindler,755,4363,0.173,2.5
how many people did hitler killed,755,3110,0.2428,1.07
where were concentration camps located,745,1869,0.3986,1.01
holocaust dates,744,17575,0.0423,2.5
gleichschaltung,743,15435,0.0481,2.63
how many jews were killed by the nazis,743,5079,0.1463,1.38
map of german concentration camps,743,1128,0.6587,1.0
how many people killed in holocaust,742,2865,0.259,1.0
what were the death marches,742,1980,0.3747,1.09
nazi olympics,741,6743,0.1099,1.84
how many jews died in world war ii,741,3777,0.1962,1.56
when was auschwitz built,738,10216,0.0722,2.4
history of antisemitism,737,7700,0.0957,3.82
death marches holocaust,735,1731,0.4246,1.0
hindenburg,731,269416,0.0027,10.7
alfred rosenberg,731,30952,0.0236,3.4
auschwitz photos,731,5203,0.1405,2.14
how many jews were there before the holocaust,731,2282,0.3203,1.13
erwin rommel,729,216839,0.0034,6.69
st louis ship,729,4728,0.1542,1.54
barbara ledermann,728,4773,0.1525,2.1
nazi concentration camp,726,11219,0.0647,2.03
victims of the holocaust,725,3871,0.1873,1.26
the eternal jew,724,15259,0.0474,2.67
did hitler like black people,724,6768,0.107,1.87
bergen belsen concentration camp,724,3233,0.2239,1.12
medical experiments of the holocaust,724,1794,0.4036,1.02
nuremberg laws definition,723,31721,0.0228,2.16
where did the armenian genocide take place,722,7501,0.0963,1.09
erich maria remarque,719,58655,0.0123,2.25
was the holocaust a genocide,719,8128,0.0885,1.08
ghetto holocaust,718,3975,0.1806,1.01
neuengamme,716,4546,0.1575,2.13
how many people died in the holocost,712,2445,0.2912,1.03
history of the swastika symbol,711,3397,0.2093,2.78
vilna,709,11708,0.0606,5.36
what was the aryan race,709,3689,0.1922,1.25
why did the nazis begin using mobile killing units instead of shooting  squads?,707,3011,0.2348,1.0
german ss,704,41068,0.0171,3.29
aryan race hitler,699,3094,0.2259,1.0
auschwitz death march,699,1368,0.511,1.08
russian pogroms,698,7019,0.0994,1.8
armenian holocaust,696,5187,0.1342,2.82
stefania podgorska,694,5254,0.1321,2.47
how many died during the holocaust,692,2596,0.2666,1.01
how did the 1935 nuremberg laws affect german jews,692,2548,0.2716,1.0
holocaust articles,691,3490,0.198,2.19
nazi death march,691,1565,0.4415,1.0
卐,690,22878,0.0302,1.19
how many people were killed in holocaust,690,2538,0.2719,1.02
holocaust history,689,5704,0.1208,2.98
what were the goals of the nuremberg laws,688,2616,0.263,1.17
josef mengele experiments,686,9418,0.0728,3.62
holocaust images,684,15023,0.0455,3.8
waffen ss,682,80746,0.0084,4.3
what were death marches,681,2324,0.293,1.06
schindler,676,109852,0.0062,6.85
what countries did hitler invade,670,10924,0.0613,1.65
holocaust gas chambers,669,10266,0.0652,2.43
hermann goering,668,207041,0.0032,7.38
what are ghettos,668,5151,0.1297,1.1
what is mein kampf about,667,8981,0.0743,2.39
ben stern,663,33346,0.0199,4.49
what percentage of jews were killed in the holocaust,663,1641,0.404,1.27
what was the jewish question,661,1907,0.3466,1.33
how many people did nazis kill,661,1884,0.3508,1.01
holocaust glossary,661,1278,0.5172,1.0
auschwitz-birkenau,659,20293,0.0325,3.54
where was the holocaust,659,16048,0.0411,2.62
how many countries did hitler invade,659,3656,0.1803,2.05
reichstag speech,659,2990,0.2204,1.36
armenian genocide summary,658,2107,0.3123,1.08
bayer and nazi germany,655,1400,0.4679,1.01
hitler's final solution,654,3068,0.2132,1.18
where is lvov,653,2606,0.2506,3.08
zyklon b,652,121540,0.0054,7.83
krystalnacht,652,9814,0.0664,2.27
concentration camp photos,650,2918,0.2228,1.76
what was the gestapo,649,12539,0.0518,2.12
who was anne frank,647,49730,0.013,6.27
what is mein kampf,647,18452,0.0351,2.41
the evian conference,647,1913,0.3382,1.11
treaty of versailles,643,393457,0.0016,10.34
what did hitler say about the jews,643,1376,0.4673,1.02
first they came for poem,641,7338,0.0874,3.06
concentration camps in ww2,640,1570,0.4076,1.04
was hitler racist,639,8315,0.0768,1.14
killing centers,638,2540,0.2512,1.0
germany invades poland,636,61629,0.0103,3.6
hitler quotes about jews,635,1387,0.4578,1.02
westerbork camp,633,2853,0.2219,1.85
what is an aryan,632,10846,0.0583,2.73
how many people died under hitler,632,1980,0.3192,1.02
how many people were killed in concentration camps,632,1583,0.3992,1.0
did hitler commit suicide,631,11516,0.0548,3.71
how many ppl did hitler kill,630,2182,0.2887,1.0
when they came for,630,1052,0.5989,1.04
犹太人,629,18848,0.0334,4.85
they came for me poem,629,7469,0.0842,3.12
"how were jewish survivors of the holocaust treated after wwii, especially  in poland?",628,1838,0.3417,1.0
wwii map,627,11429,0.0549,1.04
how many years did the holocaust last,627,6307,0.0994,1.36
why did nazis burn books,627,2399,0.2614,1.1
what were ghettos in ww2,623,1874,0.3324,1.0
rainbow division ww2,623,1523,0.4091,1.23
aryan race germany,622,4204,0.148,1.01
what is the armenian genocide,621,3322,0.1869,1.42
how many people died in the holocaust?,620,2687,0.2307,1.0
dachau camp,619,6031,0.1026,2.82
ww2 europe map,618,21853,0.0283,1.02
raphael lemkin,617,15529,0.0397,3.49
concentration camps germany,617,3885,0.1588,1.85
ushmm encyclopedia,616,753,0.8181,1.0
concentration camp definition,615,164093,0.0037,5.48
ss meaning,614,105975,0.0058,2.49
belzec concentration camp,614,2522,0.2435,1.35
what happened to the jewish population in europe,612,1660,0.3687,1.06
nazi germany timeline,610,1857,0.3285,1.14
the third reich,609,72676,0.0084,4.77
holocaust footage,609,1522,0.4001,1.11
