Top queries,Clicks,Impressions,CTR,Position
我的奋斗希特勒,8,16,0.5,3.81
appeasement policy,8,10,0.8,1.0
evian conference,8,9,0.8889,1.0
how many jews did hitler kill,8,9,0.8889,1.0
一战的根本原因,8,9,0.8889,1.0
the protocols of the elders of zion,8,9,0.8889,1.56
奥斯维辛毒气室,8,8,1.0,1.0
white rose movement,8,8,1.0,2.38
纳粹德国,7,273,0.0256,2.79
russian revolution,7,179,0.0391,6.94
同性恋,7,84,0.0833,14.94
gestapo,7,37,0.1892,4.16
苏德互不侵犯条约,7,29,0.2414,2.1
heinrich himmler,7,25,0.28,2.72
雅利安,7,21,0.3333,3.76
纳粹符号,7,17,0.4118,1.82
gypsies,7,15,0.4667,4.13
hitler youth,7,13,0.5385,2.08
1936年奥运会,7,13,0.5385,2.15
隔都,7,10,0.7,1.0
홀로코스트,7,10,0.7,2.2
纳粹主义,7,10,0.7,5.5
enabling act,7,9,0.7778,1.78
希特勒为什么屠杀犹太人,7,9,0.7778,2.11
dr mengele,7,9,0.7778,2.44
德国为什么要杀犹太人,7,8,0.875,2.12
二战历史,7,8,0.875,2.38
希特勒我的奋斗,7,8,0.875,3.5
雅利安人种,7,8,0.875,3.88
nuremberg law,7,7,1.0,1.29
同盟国和协约国,7,7,1.0,1.43
第二次世界大战时间线,7,7,1.0,1.86
希特勒演讲内容,7,7,1.0,2.14
hitler,6,4039,0.0015,9.74
treaty of versailles,6,541,0.0111,9.33
第二次世界大戰,6,224,0.0268,2.86
魏玛共和国,6,194,0.0309,8.14
德意志第三帝国,6,91,0.0659,3.65
appeasement,6,85,0.0706,4.84
巴巴罗萨计划,6,68,0.0882,5.71
大屠杀,6,51,0.1176,3.98
德奥合并,6,33,0.1818,2.52
munich agreement,6,20,0.3,2.6
猶太人,6,14,0.4286,7.14
waffen ss,6,13,0.4615,3.46
ww2 timeline,6,13,0.4615,4.62
纳粹奥运会,6,11,0.5455,1.18
罗姆人,6,10,0.6,8.4
卐 meaning,6,9,0.6667,1.22
同盟国与轴心国,6,9,0.6667,1.56
nazi concentration camps,6,9,0.6667,2.22
卐卐卐卐,6,8,0.75,1.0
holocaust timeline,6,8,0.75,1.25
reichstag fire decree,6,8,0.75,1.5
希特勒屠杀犹太人,6,8,0.75,1.75
集中营电影,6,8,0.75,2.0
hitler and the 1936 olympics,6,8,0.75,2.12
希特勒为什么要屠杀犹太人,6,8,0.75,2.25
德国纳粹,6,8,0.75,3.25
protocols of the elders of zion,6,7,0.8571,2.0
纽伦堡法案,6,7,0.8571,2.29
lebensborn,6,7,0.8571,3.14
犹太人分布,6,7,0.8571,4.0
我的奋斗中文版pdf,6,7,0.8571,19.0
how many people hitler killed,6,6,1.0,1.0
nazi camps,6,6,1.0,1.0
war guilt clause,6,6,1.0,1.0
liberation of concentration camps,6,6,1.0,1.17
how many jews were killed in the holocaust,6,6,1.0,1.83
哈瓦拉协议,6,6,1.0,2.17
犹太人口,6,6,1.0,2.17
shanghai ghetto,6,6,1.0,2.67
为什么犹太人被迫害,6,6,1.0,3.33
第二次世界大戦 年表,6,6,1.0,4.67
karl marx,5,394,0.0127,12.78
一战导火索,5,74,0.0676,4.58
leni riefenstahl,5,33,0.1515,5.21
lebensraum,5,32,0.1562,2.47
二战结束,5,19,0.2632,1.53
希特勒青年团,5,14,0.3571,3.21
女集中营,5,13,0.3846,6.0
屠杀犹太人,5,12,0.4167,2.17
what was the holocaust,5,11,0.4545,1.18
一战同盟国,5,11,0.4545,2.45
raoul wallenberg,5,11,0.4545,3.45
himmler,5,11,0.4545,5.18
借阅我的奮鬥,5,11,0.4545,7.27
the nuremberg laws,5,10,0.5,1.4
chiune sugihara,5,10,0.5,2.8
german expansion timeline,5,9,0.5556,1.0
babi yar,5,9,0.5556,2.22
阿道夫·艾希曼,5,9,0.5556,3.0
ww2 map,5,8,0.625,1.0
bergen-belsen concentration camp,5,8,0.625,1.38
great depression germany,5,8,0.625,1.5
how many jews died in ww2,5,8,0.625,1.5
what was the final solution,5,7,0.7143,1.0
night of broken glass,5,7,0.7143,1.14
nazi soviet pact,5,7,0.7143,1.29
美国大屠杀,5,7,0.7143,1.43
children in the holocaust,5,6,0.8333,1.0
nazi racism,5,6,0.8333,1.0
"when we refer to the ""holocaust"", what time period are we talking about?",5,6,0.8333,1.0
一战参战国,5,6,0.8333,1.0
第一次世界大战参战国,5,6,0.8333,1.0
纳粹毒气室,5,6,0.8333,1.0
the reichstag fire,5,6,0.8333,1.17
欧洲为什么反犹,5,6,0.8333,1.83
ジェノサイドとは,5,6,0.8333,2.67
希特勒演讲视频,5,6,0.8333,3.17
最终解决方案,5,6,0.8333,3.5
dachau concentration camp,5,6,0.8333,3.83
nazi experiments,5,5,1.0,1.6
hitler's foreign policy,5,5,1.0,1.8
犹太人为什么被杀,5,5,1.0,2.2
乌斯塔沙,5,5,1.0,2.4
第一次世界大戰起因,5,5,1.0,2.4
纳粹为什么要杀犹太人,5,5,1.0,3.0
hermann goering,5,5,1.0,5.8
nazi,4,1637,0.0024,7.5
纽伦堡,4,300,0.0133,7.93
乌克兰 犹太人,4,91,0.044,6.05
反犹太法案,4,82,0.0488,14.44
反犹法案,4,60,0.0667,16.45
兴登堡,4,59,0.0678,8.2
纳粹党,4,51,0.0784,7.27
nazi germany,4,43,0.093,7.09
when did ww2 start,4,36,0.1111,1.03
德国停战协议,4,27,0.1481,6.89
when did world war 2 start,4,18,0.2222,1.0
alfred rosenberg,4,17,0.2353,3.41
anschluss,4,17,0.2353,4.18
adolf eichmann,4,15,0.2667,4.53
axis powers,4,14,0.2857,1.0
纳粹大屠杀,4,14,0.2857,3.14
dachau,4,14,0.2857,4.0
猶太人大屠殺,4,13,0.3077,2.85
アウシュヴィッツ,4,13,0.3077,4.54
anti jewish propaganda,4,12,0.3333,1.0
reinhard heydrich,4,12,0.3333,5.0
军队强奸,4,11,0.3636,6.27
dietrich bonhoeffer,4,11,0.3636,6.55
我的奮鬥,4,11,0.3636,8.45
卢旺达种族灭绝,4,11,0.3636,8.55
the eternal jew,4,10,0.4,2.2
what was the estimated number of jews killed during the holocaust?,4,9,0.4444,1.0
二战开始时间,4,9,0.4444,2.56
犹太布尔什维克,4,9,0.4444,4.78
吉卜赛人,4,9,0.4444,7.44
强奸视频,4,9,0.4444,29.0
第一次魔法世界大战,4,9,0.4444,33.44
world war 2 map,4,8,0.5,1.0
第二次世界大战时间,4,8,0.5,1.0
what was the nazi party,4,8,0.5,1.12
bergen belsen,4,8,0.5,1.38
armenia genocide,4,8,0.5,2.88
优生学,4,8,0.5,3.62
what are ghettos,4,7,0.5714,1.0
what is the final solution,4,7,0.5714,1.0
yitzhak balsam,4,7,0.5714,1.0
ホロコーストとは,4,7,0.5714,1.71
enabling act hitler,4,7,0.5714,2.14
nazi foreign policy,4,6,0.6667,1.0
rescue in denmark,4,6,0.6667,1.0
night of the broken glass,4,6,0.6667,1.17
who were the nazi party,4,6,0.6667,1.67
希特勒犹太人,4,6,0.6667,2.0
nazi concentration camp,4,6,0.6667,2.17
mein kampf中文,4,6,0.6667,2.67
pogroms,4,6,0.6667,2.67
ghettos holocaust,4,5,0.8,1.0
how did the international community respond to the holocaust,4,5,0.8,1.0
jewish ghettos,4,5,0.8,1.0
women during the holocaust,4,5,0.8,1.0
german invasion of poland,4,5,0.8,1.4
mein kampf 中文,4,5,0.8,1.4
碎玻璃之夜,4,5,0.8,1.4
enabling act of 1933,4,5,0.8,1.6
first they came for quote,4,5,0.8,1.6
international military tribunal,4,5,0.8,1.8
第一次世界大戦,4,5,0.8,1.8
munich putsch,4,5,0.8,2.0
theresienstadt,4,5,0.8,2.2
人民观察家,4,5,0.8,3.8
euthanasia program,4,4,1.0,1.0
how many children died in the holocaust,4,4,1.0,1.0
how many jews were killed by hitler,4,4,1.0,1.0
jewish resistance,4,4,1.0,1.0
nazi censorship,4,4,1.0,1.0
operation reinhard,4,4,1.0,1.0
policy of appeasement,4,4,1.0,1.0
volkswagen nazi,4,4,1.0,1.0
一战爆发的原因,4,4,1.0,1.0
二战犹太女人,4,4,1.0,1.0
the armenian genocide,4,4,1.0,1.25
what is the aryan race,4,4,1.0,1.5
hadamar,4,4,1.0,2.0
jewish partisans,4,4,1.0,2.0
kindertransport,4,4,1.0,2.0
德国犹太人,4,4,1.0,2.0
第二次世界大战的起因,4,4,1.0,2.0
为什么屠杀犹太人,4,4,1.0,2.25
犹太人对德国做了什么,4,4,1.0,2.25
德国进攻苏联,4,4,1.0,2.5
德国人为什么杀犹太人,4,4,1.0,2.75
希特勒演讲原文,4,4,1.0,3.0
布痕瓦尔德集中营,4,4,1.0,3.75
adolf hitler speech,4,4,1.0,4.0
hitler speech in german,4,4,1.0,4.0
德国闪电战,4,4,1.0,4.25
雅利安人起源,4,4,1.0,4.25
how did holocaust survivors cope,4,4,1.0,5.0
希特勒演讲稿,4,4,1.0,5.0
antisemitism,3,218,0.0138,5.39
第一次世界大戰,3,64,0.0469,2.38
ヒトラー,3,17,0.1765,6.35
how did hitler rise to power,3,15,0.2,4.67
约瑟夫,3,15,0.2,9.33
who were the primary targets of the holocaust?,3,14,0.2143,1.0
what is holocaust,3,14,0.2143,3.21
rudolf hess,3,13,0.2308,8.54
种族主义,3,11,0.2727,5.64
珍珠港,3,11,0.2727,11.91
auschwitz-birkenau,3,10,0.3,7.0
ravensbruck,3,9,0.3333,1.67
nuremberg laws definition,3,8,0.375,2.0
nazi ss,3,8,0.375,2.12
ss meaning,3,8,0.375,2.12
纳粹旗帜,3,8,0.375,2.5
埃利威塞尔基金会,3,8,0.375,4.25
первая мировая война,3,8,0.375,5.62
納粹,3,8,0.375,5.75
凡尔赛和约,3,8,0.375,5.88
卢旺达,3,8,0.375,14.75
卡尔弗兰克绞刑,3,8,0.375,17.38
bartali,3,7,0.4286,4.29
inge auerbacher,3,6,0.5,1.0
what is kristallnacht,3,6,0.5,1.0
ss nazi,3,6,0.5,1.67
joseph mengele,3,6,0.5,1.83
jewish holocaust,3,6,0.5,2.17
反犹太人,3,6,0.5,3.0
犹太大屠杀,3,6,0.5,3.17
svastica,3,6,0.5,3.5
nazi ideology,3,6,0.5,3.67
the bolshevik revolution,3,6,0.5,6.5
children during holocaust,3,5,0.6,1.0
hitler propaganda,3,5,0.6,1.0
nazi book burning,3,5,0.6,1.0
la primera guerra mundial,3,5,0.6,1.4
第一次世界大战的导火索,3,5,0.6,2.2
起初他们,3,5,0.6,2.4
dachau camp,3,5,0.6,2.8
hitler's foreign policy aims,3,5,0.6,3.2
二战德国,3,5,0.6,3.4
swastika origin,3,5,0.6,3.8
苏德互不侵犯,3,5,0.6,4.2
德国纳粹为什么杀犹太人,3,5,0.6,7.6
无痛死亡,3,5,0.6,21.2
"how did some non-jews oppose hitler's ""final solution""?",3,4,0.75,1.0
jewish ghetto,3,4,0.75,1.0
nelly adler,3,4,0.75,1.0
アウシュビッツ,3,4,0.75,1.0
what is the armenian genocide,3,4,0.75,1.25
babi yar massacre,3,4,0.75,1.5
sobibor,3,4,0.75,1.5
world war ii in europe,3,4,0.75,1.5
how many jews died in the holocaust,3,4,0.75,1.75
paragraph 175,3,4,0.75,1.75
凡尔赛条约对德国的影响,3,4,0.75,2.0
геноцид армян,3,4,0.75,2.25
二战开始,3,4,0.75,2.25
奧斯威辛集中營,3,4,0.75,2.5
goebbels propaganda,3,4,0.75,2.75
2차 세계대전,3,4,0.75,3.0
aftermath of ww1,3,4,0.75,3.0
二战德国停战协议,3,4,0.75,3.0
苏德瓜分波兰,3,4,0.75,3.0
世界大戰,3,4,0.75,3.25
世界战争,3,4,0.75,3.25
纳粹德国国旗,3,4,0.75,3.25
奥斯卡·辛德勒,3,4,0.75,3.5
萬湖會議,3,4,0.75,3.5
犹太主义,3,4,0.75,3.75
凡尔赛合约,3,4,0.75,4.0
纳粹为什么杀犹太人,3,4,0.75,4.0
progrom,3,4,0.75,4.25
shanghai jewish ghetto,3,4,0.75,4.25
zyklon b,3,4,0.75,4.25
一战协约国,3,4,0.75,4.5
奥斯卡辛德勒,3,4,0.75,5.25
二次世界大战,3,4,0.75,5.5
adolphe arnold,3,3,1.0,1.0
after the holocaust,3,3,1.0,1.0
and then they came for me,3,3,1.0,1.0
auschwitz layout,3,3,1.0,1.0
censorship in nazi germany,3,3,1.0,1.0
eichmann trial,3,3,1.0,1.0
final solution ww2,3,3,1.0,1.0
genocide during holocaust,3,3,1.0,1.0
hitler youth knife,3,3,1.0,1.0
holocaust camps,3,3,1.0,1.0
holocaust experiments,3,3,1.0,1.0
holocaust map,3,3,1.0,1.0
how many jews killed in holocaust,3,3,1.0,1.0
how many people died from the holocaust,3,3,1.0,1.0
how many people killed hitler,3,3,1.0,1.0
lebensborn program,3,3,1.0,1.0
liquidation of the ghettos,3,3,1.0,1.0
map of concentration camp locations,3,3,1.0,1.0
nazi propaganda and censorship,3,3,1.0,1.0
nazi propoganda,3,3,1.0,1.0
propaganda in nazi germany,3,3,1.0,1.0
sudetenland map,3,3,1.0,1.0
the kristallnacht,3,3,1.0,1.0
vel d'hiv,3,3,1.0,1.0
what was the final solution to the jewish question,3,3,1.0,1.0
world war 2 in europe,3,3,1.0,1.0
二战结束时间,3,3,1.0,1.0
二戰結束,3,3,1.0,1.0
德國第三帝國,3,3,1.0,1.0
水晶之夜事件,3,3,1.0,1.0
第二次世界大战谁赢了,3,3,1.0,1.0
第二次世界大戦の日本,3,3,1.0,1.0
纳粹杀了多少犹太人,3,3,1.0,1.0
1936奥运会,3,3,1.0,1.33
1936柏林奥运会,3,3,1.0,1.33
first they came for the,3,3,1.0,1.33
gas the jews,3,3,1.0,1.33
holocaust death toll,3,3,1.0,1.33
nazi camp,3,3,1.0,1.33
nazi photo,3,3,1.0,1.33
the warsaw ghetto uprising,3,3,1.0,1.33
women in the holocaust,3,3,1.0,1.33
一战后的德国,3,3,1.0,1.33
gurs,3,3,1.0,1.67
holocaust artifacts,3,3,1.0,1.67
impact of the holocaust,3,3,1.0,1.67
nazi holocaust,3,3,1.0,1.67
primera guerra mundial,3,3,1.0,1.67
start of ww2,3,3,1.0,1.67
what is final solution,3,3,1.0,1.67
为什么要屠杀犹太人,3,3,1.0,1.67
chelmno,3,3,1.0,2.0
holocaust victims,3,3,1.0,2.0
二战战役,3,3,1.0,2.0
德国一战赔款,3,3,1.0,2.0
波兰集中营,3,3,1.0,2.0
date of holocaust,3,3,1.0,2.33
martin niemoller,3,3,1.0,2.33
ホロコースト,3,3,1.0,2.33
奥斯威辛,3,3,1.0,2.33
德国入侵波兰,3,3,1.0,2.33
the gestapo,3,3,1.0,2.67
йозеф менгеле,3,3,1.0,2.67
第一次世界大战的根本原因,3,3,1.0,2.67
德国闪击波兰,3,3,1.0,3.0
德国集中营,3,3,1.0,3.0
意大利二战,3,3,1.0,3.0
二战停战协议,3,3,1.0,3.33
德国二战,3,3,1.0,3.33
nazi germany map,3,3,1.0,4.0
world war 2 timeline,3,3,1.0,4.0
hitler's speech,3,3,1.0,4.33
lvov,3,3,1.0,4.33
willem arondeus,3,3,1.0,4.33
纳粹电影,3,3,1.0,4.67
히틀러,3,3,1.0,5.0
1914年,3,3,1.0,5.33
强奸照片,3,3,1.0,5.33
萨克森豪森集中营,3,3,1.0,6.0
我的奋斗英文版pdf,3,3,1.0,6.67
阿明侯赛尼,3,3,1.0,7.67
我的奋斗中文版,3,3,1.0,9.67
我的奋斗电子版,3,3,1.0,12.33
lenin,3,3,1.0,14.0
希特勒演讲原声,3,3,1.0,29.0
华沙,2,1067,0.0019,9.65
genocide,2,865,0.0023,6.27
ww2,2,570,0.0035,8.54
阿道夫,2,383,0.0052,8.79
杜鲁门,2,297,0.0067,9.07
辛德勒的名单,2,76,0.0263,11.72
fascism,2,64,0.0312,10.03
犹太人 乌克兰,2,62,0.0323,9.0
pogrom,2,59,0.0339,3.93
夏季奧林匹克運動會,2,56,0.0357,12.7
绥靖政策,2,55,0.0364,4.78
gas chamber,2,34,0.0588,6.41
阿道夫·希特勒,2,33,0.0606,5.82
犹太人乌克兰,2,31,0.0645,7.81
波兰,2,29,0.069,23.0
night of the long knives,2,26,0.0769,7.65
munich conference,2,24,0.0833,4.71
卡尔,2,24,0.0833,8.38
свастика,2,22,0.0909,5.55
pogrom meaning,2,21,0.0952,5.05
goebbels,2,20,0.1,7.4
joseph goebbels,2,19,0.1053,5.63
卢旺达大屠杀,2,19,0.1053,10.11
同盟国,2,17,0.1176,6.18
schutzstaffel,2,14,0.1429,2.57
concentration camp,2,14,0.1429,5.21
枪决,2,12,0.1667,6.75
二戰,2,12,0.1667,8.42
第二次世界大戦,2,11,0.1818,1.73
genocide 中文,2,11,0.1818,4.91
the spanish civil war,2,11,0.1818,5.45
adolf,2,11,0.1818,10.36
犹太人屠杀,2,10,0.2,1.4
《我的奋斗》,2,10,0.2,3.2
納粹德國,2,10,0.2,3.9
审判,2,10,0.2,8.1
1936 olympics,2,9,0.2222,5.56
elie wiesel,2,9,0.2222,8.11
croix gammée,2,8,0.25,3.25
third reich,2,8,0.25,4.0
anne frank diary,2,8,0.25,9.12
真珠湾攻撃,2,8,0.25,9.12
nazi propaganda hitler,2,7,0.2857,1.0
第二次世界大战结束时间,2,7,0.2857,1.0
the munich putsch,2,7,0.2857,2.0
righteous among the nations,2,7,0.2857,3.0
nazi history,2,7,0.2857,3.57
albert speer,2,7,0.2857,3.86
арийцы,2,7,0.2857,4.29
希特勒照片,2,7,0.2857,6.43
特里亚农条约,2,7,0.2857,7.43
jasenovac,2,6,0.3333,3.33
auschwitz concentration camp,2,6,0.3333,3.5
蓋世太保,2,6,0.3333,5.33
1933,2,6,0.3333,6.33
rosa luxemburg,2,6,0.3333,8.83
abraham bergman,2,5,0.4,1.0
what other nations treated jews as scapegoats (blamed them for some  trouble)?,2,5,0.4,1.0
what was the nazi party?,2,5,0.4,1.0
anti jewish law,2,5,0.4,1.6
germany in 1939,2,5,0.4,1.6
纳粹党卫军,2,5,0.4,2.2
how many people survived the holocaust,2,5,0.4,2.6
what levels of german society were most drawn to hitler and the nazi party?,2,5,0.4,3.0
auschwitz camp,2,5,0.4,3.8
德国警察,2,5,0.4,3.8
纳粹国旗,2,5,0.4,4.0
莱茵兰,2,5,0.4,4.4
hitler becomes chancellor,2,5,0.4,4.8
反犹太主义意识法案维基百科,2,5,0.4,18.4
antisemitic nazi posters,2,4,0.5,1.0
german expansion,2,4,0.5,1.0
hitler youth uniform,2,4,0.5,1.0
how many concentration camps were there,2,4,0.5,1.0
lisa dawidowicz,2,4,0.5,1.0
women in nazi germany,2,4,0.5,1.0
二战开始的标志,2,4,0.5,1.0
毛特豪森集中营,2,4,0.5,1.5
灭绝营,2,4,0.5,2.25
nazi judges,2,4,0.5,2.5
nazi student league,2,4,0.5,3.0
犹太纳粹主义,2,4,0.5,3.25
种族屠杀,2,4,0.5,3.25
纳粹旗,2,4,0.5,3.5
degenerate art,2,4,0.5,4.0
molotov–ribbentrop pact,2,4,0.5,4.0
swastika meaning,2,4,0.5,4.25
党卫队,2,4,0.5,4.75
冲锋队,2,4,0.5,4.75
operation torch,2,4,0.5,7.75
アンネフランク,2,4,0.5,7.75
乌克兰犹太,2,4,0.5,8.25
1915 armenian genocide pictures,2,3,0.6667,1.0
1936年ベルリンオリンピック,2,3,0.6667,1.0
aftermath of holocaust,2,3,0.6667,1.0
auschwitz photograph,2,3,0.6667,1.0
concentration camp map,2,3,0.6667,1.0
concentration camps in nazi germany,2,3,0.6667,1.0
danzig ww2,2,3,0.6667,1.0
german propaganda ww2,2,3,0.6667,1.0
hitlers 25 points,2,3,0.6667,1.0
how many ghettos existed in german occupied territories?,2,3,0.6667,1.0
how many jews died in holocaust,2,3,0.6667,1.0
how many people died in concentration camps,2,3,0.6667,1.0
how many people killed by hitler,2,3,0.6667,1.0
how many people were killed in the holocaust,2,3,0.6667,1.0
how ww2 ended,2,3,0.6667,1.0
jewish refugee,2,3,0.6667,1.0
jewish refugees,2,3,0.6667,1.0
nazi medical experiments,2,3,0.6667,1.0
nazi photos,2,3,0.6667,1.0
nazi rise to power,2,3,0.6667,1.0
nuremberg laws (1935),2,3,0.6667,1.0
results of the munich conference,2,3,0.6667,1.0
ss police,2,3,0.6667,1.0
st louis ship,2,3,0.6667,1.0
what did hitler do in 1935,2,3,0.6667,1.0
ニュルンベルク法,2,3,0.6667,1.0
一战爆发,2,3,0.6667,1.0
二战的起因,2,3,0.6667,1.0
первая мировая война кратко,2,3,0.6667,1.33
warsaw ghetto,2,3,0.6667,1.67
zuerst kamen sie,2,3,0.6667,1.67
犹太集中营,2,3,0.6667,1.67
nazi eugenics,2,3,0.6667,2.0
origem da suastica,2,3,0.6667,2.0
sonderkommandos,2,3,0.6667,2.0
ss police state,2,3,0.6667,2.0
二战战败国,2,3,0.6667,2.0
犹太人 希特勒,2,3,0.6667,2.0
犹太人为什么被屠杀,2,3,0.6667,2.0
armenian refugees 1915,2,3,0.6667,2.33
der ewige jude,2,3,0.6667,2.33
mein kampf summary,2,3,0.6667,2.33
wwii maps,2,3,0.6667,2.33
death march,2,3,0.6667,2.67
nazi regime,2,3,0.6667,2.67
the white rose,2,3,0.6667,2.67
希特勒标志,2,3,0.6667,2.67
elders of zion,2,3,0.6667,3.0
schindler's list,2,3,0.6667,3.0
アウシュヴィッツ強制収容,2,3,0.6667,3.0
jewish refugees in shanghai,2,3,0.6667,3.33
molotov ribbentrop pact,2,3,0.6667,3.33
sa nazi,2,3,0.6667,3.33
vilna,2,3,0.6667,3.33
germany after ww1,2,3,0.6667,3.67
auschwitz album,2,3,0.6667,4.0
who liberated auschwitz,2,3,0.6667,4.0
世界第一次大战,2,3,0.6667,4.0
埃利·威塞尔人类基金会,2,3,0.6667,4.33
女子集中营,2,3,0.6667,4.33
aryan description,2,3,0.6667,4.67
leon degrelle,2,3,0.6667,4.67
molotov-ribbentrop pact,2,3,0.6667,4.67
奧斯維辛集中營,2,3,0.6667,4.67
the remilitarisation of the rhineland,2,3,0.6667,5.0
反犹太原因,2,3,0.6667,5.0
法国犹太人,2,3,0.6667,5.0
集中營,2,3,0.6667,5.0
凡尔赛条约内容,2,3,0.6667,5.33
焚书,2,3,0.6667,5.33
反犹意识,2,3,0.6667,5.67
德国少女联盟,2,3,0.6667,6.0
箭十字党,2,3,0.6667,6.0
犹太人为什么不受欢迎,2,3,0.6667,6.33
德国人种,2,3,0.6667,6.67
党卫军标志,2,3,0.6667,7.0
纳粹是什么,2,3,0.6667,7.33
roma people,2,3,0.6667,8.0
万湖会议 在线,2,3,0.6667,8.0
种族,2,3,0.6667,9.0
万湖会议在线,2,3,0.6667,11.0
1933-1938,2,2,1.0,1.0
1937 nazi,2,2,1.0,1.0
1945年大事,2,2,1.0,1.0
