Top queries,Clicks,Impressions,CTR,Position
голос гитлера,787,3143,0.2504,2.33
первая мировая кратко,786,1453,0.5409,1.28
расист,772,38000,0.0203,2.44
расизм,750,57345,0.0131,3.08
почему гитлер истреблял евреев,731,2423,0.3017,1.12
первая мировая война конспект,724,1189,0.6089,1.0
анна франк,717,78079,0.0092,7.94
события второй мировой войны,711,1431,0.4969,1.15
начало 2 мировой войны,708,19393,0.0365,2.36
нацистские туалеты,704,1606,0.4384,1.52
доктор менгеле,701,19209,0.0365,3.11
почему не любят евреев,696,12989,0.0536,4.64
как началась первая мировая война,692,4868,0.1422,1.09
хрустальная ночь,691,30514,0.0226,2.77
оскар шиндлер,682,30127,0.0226,3.82
почему немцы не любили евреев,662,4495,0.1473,2.34
фашисты гимн фашистской германии,662,1443,0.4588,1.99
речь гитлера на немецком,656,11494,0.0571,5.75
гитлер в париже,650,11774,0.0552,1.34
освенцим это,639,30671,0.0208,2.36
арийцы,637,99842,0.0064,4.24
кто такой расист,634,12554,0.0505,3.53
свастика символ,615,103781,0.0059,4.29
приход гитлера к власти,609,4615,0.132,1.88
расист это,595,17255,0.0345,3.5
день рождения гитлера,592,154934,0.0038,3.05
союзники германии во второй мировой войне,575,13383,0.043,3.05
2 мировая война,570,86894,0.0066,5.88
этапы второй мировой войны,570,3700,0.1541,3.15
почему фашисты убивали евреев,569,1312,0.4337,1.05
версальский договор,567,46520,0.0122,6.21
как началась вторая мировая война,564,6108,0.0923,3.14
биография гитлера,564,5896,0.0957,4.14
почему немцы уничтожали евреев,554,1526,0.363,1.16
концлагеря,545,10031,0.0543,4.23
вторая мировая война дата,544,60672,0.009,3.15
дневник анны франк краткое содержание,538,805,0.6683,1.03
лагеря смерти,534,4158,0.1284,1.41
арийцы это,532,40428,0.0132,3.18
почему немцы истребляли евреев,530,1392,0.3807,1.11
итоги 1 мировой войны,523,4299,0.1217,1.16
антисемитизм,517,67812,0.0076,3.17
шиндлер,514,30018,0.0171,3.72
речь гитлера,510,11681,0.0437,4.5
почему началась первая мировая война,499,6060,0.0823,1.3
что означает свастика,498,12967,0.0384,1.05
гитлерюгенд,497,59018,0.0084,3.87
с чего началась вторая мировая война,497,7052,0.0705,2.84
йозеф менгеле опыты,496,3705,0.1339,2.63
геноцид это,492,130424,0.0038,4.82
геноцид армян причина,484,2282,0.2121,1.07
основные события второй мировой войны,479,1251,0.3829,2.03
когда была первая мировая война,478,28415,0.0168,2.93
участники второй мировой войны,478,3430,0.1394,2.09
кто такие расисты,476,6799,0.07,2.79
османская империя,468,161436,0.0029,6.32
когда они пришли за коммунистами,467,2961,0.1577,3.18
холокост причины,465,1938,0.2399,1.75
дахау,452,26308,0.0172,3.57
почему истребляли евреев,446,1432,0.3115,1.37
освенцим что там происходило,436,1725,0.2528,1.24
даты второй мировой войны,434,8251,0.0526,2.98
сколько людей убил гитлер,424,1082,0.3919,1.01
почему гитлер напал на ссср,421,5415,0.0777,2.28
хронология 2 мировой войны,421,620,0.679,1.05
почему немцы ненавидели евреев,413,3402,0.1214,2.69
менгеле йозеф,405,10907,0.0371,3.33
из за чего началась первая мировая война,404,5693,0.071,1.27
гитлер биография,403,4802,0.0839,4.19
освенцим фото,396,1115,0.3552,1.02
концлагерь освенцим,390,8545,0.0456,2.77
ход второй мировой войны,386,719,0.5369,1.19
кто такой расист простыми словами,383,1219,0.3142,1.18
когда закончилась вторая мировая война,381,23276,0.0164,1.55
первая мировая война 1914 по 1918 кратко,381,666,0.5721,1.01
третий рейх,375,69269,0.0054,4.93
"в августе 1945 года великобритания, франция, ссср и сша подписали  лондонское соглашение и хартию международного военного трибунал. самый  крупный процесс международного военного трибунала:",375,28877,0.013,3.11
антанта страны,370,11192,0.0331,1.37
биография гитлера кратко,370,653,0.5666,1.41
с чего началась первая мировая война,369,3660,0.1008,1.43
арийская раса,368,25057,0.0147,3.98
освенцим лагерь,359,6039,0.0594,2.3
почему нацисты убивали евреев,358,713,0.5021,1.0
энциклопедия холокоста,357,435,0.8207,1.0
почему уничтожали евреев,356,880,0.4045,1.2
речь гитлера слушать,354,1522,0.2326,3.04
йозеф менгеле вклад в медицину,351,2341,0.1499,1.0
начало первой мировой войны,348,48643,0.0072,6.07
причины нападения германии на ссср,348,1307,0.2663,1.66
кто воевал в первой мировой войне,346,3070,0.1127,1.08
годы второй мировой войны,345,13874,0.0249,1.11
гетто,344,93349,0.0037,2.7
страны антанты,344,11737,0.0293,1.3
антанта,343,25800,0.0133,4.26
евгеника,341,40507,0.0084,5.19
какие страны участвовали в первой мировой войне,337,1678,0.2008,1.05
почему германия напала на ссср,336,3493,0.0962,1.37
какие факторы способствовали быстрому захвату европейских государств  германией,334,1051,0.3178,1.03
треблинка,333,9680,0.0344,3.76
что такое холокост и когда он был,333,4117,0.0809,1.02
мировая война,332,51182,0.0065,5.74
mein kampf,331,27031,0.0122,5.71
вторая мировая война годы,329,9020,0.0365,1.07
первая мировая,328,91742,0.0036,5.49
история второй мировой войны,326,1971,0.1654,2.86
циклон б,323,19374,0.0167,3.83
почему фашисты уничтожали евреев,322,654,0.4924,1.09
1 мировая война годы,319,27422,0.0116,5.6
основные события второй мировой войны кратко,319,748,0.4265,1.49
когда началась первая мировая война,315,88679,0.0036,5.03
с кем была первая мировая война,315,5208,0.0605,1.07
сколько евреев погибло во время вов,312,6367,0.049,4.16
почему был геноцид евреев,312,488,0.6393,1.07
аушвиц фото,310,746,0.4155,1.0
когда началась вторая мировая война 1941,306,25215,0.0121,2.58
кто такие арийцы,304,14865,0.0205,3.26
первая мировая война итоги,304,2043,0.1488,1.1
страны участники первой мировой войны,301,958,0.3142,1.04
нападение гитлеровской германии на ссср,298,1122,0.2656,1.62
кто участвовал в первой мировой войне,295,2473,0.1193,1.09
история свастики,292,590,0.4949,1.11
почему фашисты ненавидели евреев,289,888,0.3255,1.64
нападение германии на польшу,287,5233,0.0548,3.14
что такое холокост,283,49176,0.0058,4.96
марш смерти это,282,1432,0.1969,1.75
почему турки убивали армян,276,803,0.3437,1.02
основные даты второй мировой войны,276,803,0.3437,2.18
гетто это,275,68923,0.004,3.37
свастика это,275,45308,0.0061,5.13
антисемитизм это,274,76436,0.0036,4.0
германия после первой мировой войны,274,1091,0.2511,2.06
вторая мировая война основные события,274,442,0.6199,1.53
участники 1 мировой войны,273,1243,0.2196,1.21
речь гитлера текст на немецком,272,1628,0.1671,6.31
что позволило германии быстро победить польшу,272,678,0.4012,1.14
когда пришли за коммунистами,269,2061,0.1305,3.8
немецкие концлагеря,264,1361,0.194,1.44
итоги первой мировой войны кратко,260,5366,0.0485,4.65
страны оси,259,17544,0.0148,2.25
расизм это,258,62018,0.0042,5.46
почему нацисты ненавидели евреев,258,616,0.4188,1.62
лагерь освенцим,257,3710,0.0693,2.19
из-за чего началась первая мировая война,256,3325,0.077,1.22
геноцид армян в османской империи,255,1014,0.2515,1.65
начало второй мировой войны кратко,250,2159,0.1158,4.33
1 мировая война участники,249,1223,0.2036,1.2
за что убивали евреев,247,627,0.3939,1.16
почему фашисты истребляли евреев,244,461,0.5293,1.04
как гитлер пришёл к власти,244,385,0.6338,1.04
вторая мировая война хронология,244,351,0.6952,1.15
ариец это,243,32185,0.0076,2.88
бабий яр это,241,4169,0.0578,4.82
полное имя гитлера,235,4379,0.0537,1.09
львовский погром,233,2835,0.0822,3.67
адольф эйхман,232,22229,0.0104,5.41
восточный фронт второй мировой войны,232,1943,0.1194,2.88
геноцид армян 1915,231,1821,0.1269,3.32
история гитлера,229,906,0.2528,2.7
хронологическая таблица второй мировой войны,229,366,0.6257,1.01
причины первой мировой войны,228,47431,0.0048,8.63
армянский геноцид,227,4813,0.0472,2.62
почему гитлер хотел уничтожить евреев,227,620,0.3661,1.05
бухенвальд это,225,8265,0.0272,4.55
последствия первой мировой войны,224,6523,0.0343,4.79
периодизация второй мировой войны,223,1139,0.1958,2.93
основные сражения второй мировой войны таблица,222,921,0.241,2.03
сообщение о первой мировой войне,220,347,0.634,1.0
до куда дошли немцы,219,4998,0.0438,2.38
вторая мировая,218,47288,0.0046,5.74
газовая камера,217,11955,0.0182,3.81
лагерь смерти,217,2626,0.0826,2.28
концлагерь,215,46219,0.0047,7.09
кто такой гитлер,215,18893,0.0114,3.65
в каком году была первая мировая война,214,12443,0.0172,2.37
первая мировая война доклад,214,316,0.6772,1.28
гимн гитлера,213,1242,0.1715,3.96
адольф гитлер биография,213,970,0.2196,3.83
почему фашисты не любили евреев,213,524,0.4065,1.49
геноцид армян сколько погибло,212,1497,0.1416,1.76
причины холокоста,212,444,0.4775,1.27
нюрнбергский процесс,210,29236,0.0072,11.24
гестапо,208,81450,0.0026,5.22
концлагерь холокост фото,208,523,0.3977,1.0
卐,207,8639,0.024,1.78
концлагерь бухенвальд,207,1923,0.1076,4.6
почему сжигали евреев,207,595,0.3479,1.39
все даты второй мировой войны,206,252,0.8175,1.0
эйхман,205,24905,0.0082,5.1
раздел польши 1939,204,8013,0.0255,3.75
анна франк это,204,3552,0.0574,2.83
вторая мировая война даты,203,4696,0.0432,2.99
события 2 мировой войны,203,345,0.5884,1.32
протокол сионских мудрецов,201,1871,0.1074,4.27
почему евреев убивали,201,678,0.2965,1.37
распад османской империи,199,4605,0.0432,2.94
холокост фото,199,520,0.3827,1.24
события 1943 года в хронологическом порядке,199,300,0.6633,1.06
почему гитлер начал войну,198,548,0.3613,1.17
нюрнбергский процесс обвиняемые,197,452,0.4358,1.06
гомосексуалисты,196,4155,0.0472,4.39
почему германия напала на польшу,195,1031,0.1891,1.06
менгеле опыты,195,725,0.269,2.44
книга гитлера,193,10681,0.0181,4.83
почему гитлер напал на польшу,193,1036,0.1863,1.0
марш смерти,192,6663,0.0288,3.49
результаты первой мировой войны,192,914,0.2101,1.07
освенцим дети,190,799,0.2378,1.47
освобождение освенцима,188,4492,0.0419,4.46
когда закончилась вторая мировая,187,14281,0.0131,1.68
вторая мировая война события,187,284,0.6585,1.64
фото гитлера в париже,186,1734,0.1073,1.11
хронология событий второй мировой войны,186,275,0.6764,1.09
лизбиянки,185,5510,0.0336,11.93
холокост это концлагерь,184,3505,0.0525,3.54
гестаповские методы это,183,735,0.249,1.02
вторая мировая война таблица,183,406,0.4507,1.05
когда началась 2 мировая война,181,24366,0.0074,3.3
гестапо это,179,43682,0.0041,2.96
что такое геноцид,179,35995,0.005,4.78
марш смерти освенцим,179,392,0.4566,1.43
хронология вов,178,940,0.1894,2.46
ссср напал на польшу,178,871,0.2044,1.95
этапы второй мировой войны таблица,178,752,0.2367,1.98
геноцид евреев,177,5545,0.0319,3.62
когда пришли за евреями я молчал,177,1347,0.1314,4.11
свастика фашистов,176,17804,0.0099,4.51
геноцид это простыми словами,175,10480,0.0167,2.88
2 мировая война кратко,175,1698,0.1031,4.83
приход к власти гитлера,175,801,0.2185,2.26
какие страны захватил гитлер,175,722,0.2424,1.14
моя борьба,174,17561,0.0099,6.92
майн кампф читать,174,8356,0.0208,9.23
какие факторы способствовали быстрому захвату европейских государств,174,653,0.2665,1.04
почему нацистский режим был столь откровенно заинтересован в пропаганде  войны,174,460,0.3783,1.0
холокост кратко,174,323,0.5387,1.16
освенцем,171,9827,0.0174,3.23
почему гинденбург передал власть гитлеру,171,1199,0.1426,1.73
основные этапы второй мировой войны,169,521,0.3244,2.78
кратко о первой мировой войне,169,303,0.5578,2.11
когда пришли за мной,167,457,0.3654,2.45
конспект первая мировая война,167,259,0.6448,1.0
холокоста,166,8348,0.0199,4.27
хрустальная ночь кратко,166,506,0.3281,1.46
когда была вторая мировая война,163,10029,0.0163,1.09
первая мировая война сообщение,163,246,0.6626,1.01
геноцид армян кратко,162,393,0.4122,1.08
первая мировая кто с кем воевал,161,750,0.2147,1.05
почему нацисты уничтожали евреев,161,256,0.6289,1.12
почему фашисты считали своими главными врагами социалистов и коммунистов,159,1782,0.0892,2.2
когда гитлер пришел к власти,158,8171,0.0193,2.31
аушвиц это,158,7836,0.0202,2.5
йозеф менгеле опыты фото,158,1636,0.0966,3.1
список шиндлера,157,20152,0.0078,11.74
версальский мирный договор,157,15576,0.0101,7.23
гитлер ослеп,157,1214,0.1293,1.13
основные события 2 мировой войны,157,309,0.5081,2.15
собибор,156,22465,0.0069,7.5
геноцид армян в турции,156,405,0.3852,1.44
что делали с евреями в лагерях,156,254,0.6142,1.07
дата начала второй мировой войны,155,11769,0.0132,1.58
какое из этих государств официально входило в число союзников гитлеровской  германии в годы великой отечественной войны,154,3794,0.0406,1.52
кто с кем воевал в первую мировую войну,154,569,0.2707,1.1
причины геноцида армян,154,348,0.4425,1.14
почему фашисты считали своими главными врагами социалистов,153,1196,0.1279,2.02
основные события 1939 начала 1941,153,295,0.5186,1.04
все события второй мировой войны,153,191,0.801,1.0
1 мировая кратко,152,224,0.6786,1.87
конспект по первой мировой войне,152,202,0.7525,1.0
геи,151,29102,0.0052,9.66
начало второй мировой,151,4370,0.0346,1.65
газовые камеры,151,2962,0.051,2.91
что такое холокост простыми словами,150,9029,0.0166,3.66
3 рейх,149,32392,0.0046,4.7
история холокоста,149,242,0.6157,1.16
сколько евреев убил гитлер,148,601,0.2463,1.97
карта германии 1939,148,483,0.3064,1.01
геноцид армян причины кратко,148,426,0.3474,1.15
что такое расизм,147,24763,0.0059,5.58
речь гитлера видео,147,286,0.514,1.65
эксперименты менгеле,147,264,0.5568,2.06
годы первой мировой войны,146,29391,0.005,6.25
менгель,146,6813,0.0214,3.67
почему гитлер хотел истребить евреев,146,326,0.4479,1.1
краткая биография гитлера,146,237,0.616,1.45
нападение фашистской германии на ссср,145,497,0.2918,1.52
итог первой мировой войны,144,2250,0.064,1.11
нападение германии на польшу кратко,144,436,0.3303,1.23
почему гитлер был против евреев,144,299,0.4816,1.11
кто освободил дахау,143,822,0.174,2.52
геноцид армян фото,143,345,0.4145,1.01
нападение германии на ссср кратко,142,322,0.441,1.0
хронологические рамки второй мировой войны,141,1025,0.1376,1.0
сс,139,193663,0.0007,5.42
евгеника это,138,25533,0.0054,5.8
почему ненавидят евреев,138,2650,0.0521,5.09
фио гитлера,138,2465,0.056,1.18
протоколы сионских мудрецов читать,138,414,0.3333,4.4
речь гитлера на немецком слушать,138,296,0.4662,1.99
доклад на тему первая мировая война,137,214,0.6402,1.09
доктор менгеле опыты,136,377,0.3607,2.23
адольф гитлер дата и место рождения,135,7978,0.0169,3.06
геноцид армян кто устроил,135,1484,0.091,2.59
кто напал на польшу в 1939 году,134,678,0.1976,1.2
холокост история,134,199,0.6734,1.01
вторая мировая война дата начала,133,6342,0.021,2.58
свастика гитлера,133,4232,0.0314,2.95
биография адольфа гитлера,133,812,0.1638,4.19
опыты менгеле,133,327,0.4067,2.45
1915 армения,132,1453,0.0908,1.04
как убивали евреев,132,236,0.5593,1.13
что такое холокост для детей,131,5912,0.0222,2.75
откуда гитлер взял свастику,131,188,0.6968,1.06
что такое свастика,130,33517,0.0039,4.78
страны антигитлеровской коалиции,130,1511,0.086,1.45
узники концлагерей,130,1030,0.1262,2.9
какие страны захватила германия,130,425,0.3059,1.05
немецкая свастика фото,130,386,0.3368,1.04
кого ненавидел гитлер,130,269,0.4833,1.29
нацистская германия,129,31434,0.0041,5.07
моя борьба читать,129,2188,0.059,9.0
кто входил в антанту,128,4641,0.0276,1.36
нюрнбергские законы,126,997,0.1264,2.49
антисемит,125,22784,0.0055,2.28
самый страшный концлагерь,125,4306,0.029,4.57
жертвы холокоста,124,1356,0.0914,4.25
первая мировая война с кем была,124,892,0.139,1.01
гитлер и евреи,124,366,0.3388,1.08
таблица вторая мировая война,124,284,0.4366,1.24
почему был геноцид армян,124,283,0.4382,1.14
освенцим история,124,248,0.5,2.22
мартин нимёллер,122,1848,0.066,3.58
таблица по второй мировой войне,122,261,0.4674,1.32
менгеле йозеф опыты,122,222,0.5495,1.16
почему нацисты истребляли евреев,122,173,0.7052,1.0
вторая мировая война начало,121,1577,0.0767,2.2
сколько убил гитлер,121,358,0.338,1.74
всё о первой мировой войне,121,267,0.4532,3.32
стороны первой мировой войны,121,236,0.5127,1.16
как гитлер пришел к власти в германии,121,223,0.5426,1.0
почему гитлер выбрал свастику,121,172,0.7035,1.0
кратко первая мировая война,121,150,0.8067,1.05
причина первой мировой войны,120,11591,0.0104,4.71
концлагеря в германии список,120,495,0.2424,1.66
за что гитлер не любил евреев,120,302,0.3974,1.33
почему нацисты не любили евреев,120,248,0.4839,1.29
почему евреев не любят,119,2909,0.0409,4.99
доктор менгель,119,1502,0.0792,2.95
настоящее имя гитлера,119,800,0.1488,1.21
гомосексуализм,118,18136,0.0065,7.99
дети в концлагерях,118,329,0.3587,1.24
ариец,117,62258,0.0019,5.78
немецкая свастика,117,10175,0.0115,3.57
какие цели преследовал гитлеровский оккупационный режим,117,460,0.2543,1.33
первая мировая участники,117,363,0.3223,1.17
итоги первой мировой войны для германии,116,489,0.2372,1.04
сначала они пришли за коммунистами,116,373,0.311,3.01
кого убивал гитлер,116,194,0.5979,1.09
почему был холокост,116,164,0.7073,1.01
конец второй мировой войны,115,15216,0.0076,6.32
расисты,115,4539,0.0253,2.16
сколько евреев погибло во время холокоста,115,685,0.1679,2.72
история первой мировой войны кратко,115,141,0.8156,1.0
когда закончилась первая мировая война,114,12209,0.0093,2.16
геноцид армян турками причина,114,710,0.1606,1.17
1 мировая война кто с кем воевал,114,464,0.2457,1.06
краткая история первой мировой войны,114,142,0.8028,1.04
сколько погибло евреев во 2 мировой,113,677,0.1669,3.22
замученные еврейские дети,113,303,0.3729,1.0
в каком году началась вторая мировая война,112,23644,0.0047,3.16
фото трупов,112,1322,0.0847,4.63
ключевые события второй мировой войны,112,170,0.6588,1.91
этапы 2 мировой войны,111,484,0.2293,2.92
причины нападения германии на ссср кратко,111,482,0.2303,1.49
сначала пришли за евреями,111,190,0.5842,2.01
холокост сообщение,111,145,0.7655,1.01
олимпиада 1936,110,4782,0.023,3.07
когда был геноцид армян,110,1283,0.0857,1.25
концлагеря в германии,110,331,0.3323,1.29
вторая мировая война история,110,203,0.5419,2.46
первая мировая война очень кратко,110,159,0.6918,1.32
аншлюс австрии,109,30737,0.0035,6.37
бухенвальд концлагерь,109,525,0.2076,4.09
хроника второй мировой войны,109,167,0.6527,1.29
аушвиц биркенау,108,4190,0.0258,5.33
даты 2 мировой войны,108,1146,0.0942,2.78
бухенвальд фото,108,784,0.1378,3.07
концлагеря в польше,108,223,0.4843,1.15
фашистские концлагеря,108,196,0.551,1.84
гитлер краткая биография,108,148,0.7297,1.45
нюрнбергский трибунал,107,3156,0.0339,6.54
последовательность событий второй мировой войны,107,168,0.6369,1.09
освенцим истории выживших,107,142,0.7535,1.34
пакт молотова-риббентропа,106,4818,0.022,5.86
свастика значение,106,1578,0.0672,1.7
концлагеря список,106,425,0.2494,1.4
главные события второй мировой войны,106,163,0.6503,1.86
день освобождения красной армии нацистского лагеря смерти аушвиц,105,1373,0.0765,4.43
союзники фашистской германии,105,1120,0.0938,2.71
причина геноцида армян,105,200,0.525,1.07
первая мировая война реферат,105,167,0.6287,1.46
вторая мировая война даты и события,105,136,0.7721,1.15
зачем гитлер напал на ссср,104,895,0.1162,1.51
первая мировая война страны участники,104,205,0.5073,1.03
хрустальная ночь это,103,1459,0.0706,2.21
итоги первой мировой,103,1241,0.083,2.68
важные даты второй мировой войны,103,193,0.5337,1.78
дневник анны франк,102,9328,0.0109,12.26
расист это простыми словами,102,270,0.3778,1.15
кто начал вторую мировую войну,101,4436,0.0228,3.75
первая мировая война началась,101,3316,0.0305,1.32
1939 год,101,2929,0.0345,2.17
лагеря смерти список,101,345,0.2928,1.3
причины первой мировой войны кратко,100,9059,0.011,8.53
гитлер на фоне парижа,100,1626,0.0615,1.66
почему не любили евреев,100,1088,0.0919,3.48
пропаганда геббельса,100,265,0.3774,3.34
сообщение про гитлера,100,163,0.6135,1.01
вторая мировая хронология,100,118,0.8475,1.02
1939 год война,99,7809,0.0127,4.26
рассист,99,4438,0.0223,2.43
речи гитлера,99,453,0.2185,5.02
союзники гитлера во второй мировой войне,99,431,0.2297,2.4
за что гитлер убивал евреев,99,184,0.538,1.08
нацисты,98,27314,0.0036,6.89
за что немцы убивали евреев,98,153,0.6405,1.03
первая мировая война лекция,98,145,0.6759,1.29
первая мировая война причины,97,10966,0.0088,8.16
газовые камеры фашистов,97,314,0.3089,1.49
первая мировая война стороны,97,201,0.4826,1.05
холокост дата начала,96,3804,0.0252,4.04
программа т4,96,1328,0.0723,3.52
когда они пришли за коммунистами я молчал,96,592,0.1622,3.49
история 2 мировой войны,96,285,0.3368,2.86
что чувствует человек в газовой камере,96,279,0.3441,3.05
сколько было концлагерей,96,273,0.3516,1.04
нацистские плакаты,96,222,0.4324,1.28
ход 2 мировой войны,96,130,0.7385,1.12
концлагерь в польше,95,1291,0.0736,3.65
нападение фашистской германии на ссср кратко,95,593,0.1602,2.85
третий рейх карта,95,318,0.2987,1.01
почему гитлер пришел к власти,95,152,0.625,1.0
когда была 1 мировая война,94,6637,0.0142,3.1
генацид,94,3387,0.0278,2.73
хрустальная ночь в германии,94,1303,0.0721,2.79
почему евреев сжигали,94,264,0.3561,1.58
список шиндлера это,93,6237,0.0149,7.26
россия в первой мировой войне кратко,93,2791,0.0333,9.04
почему ссср напал на польшу в 1939,93,1906,0.0488,3.76
как поделили польшу ссср и германия,93,759,0.1225,2.75
за что не любят евреев,93,716,0.1299,4.67
сионские мудрецы,93,539,0.1725,4.62
как нацисты пришли к власти в германии,93,364,0.2555,1.82
как началась 1 мировая война,93,269,0.3457,1.09
почему нацистский режим был столь откровенно заинтересован в пропаганде  войны?,93,215,0.4326,1.0
фото освенцима,93,150,0.62,1.12
когда родился гитлер,92,40744,0.0023,2.96
пакт о ненападении между ссср и германией,92,7366,0.0125,4.84
когда германия напала на ссср,92,6632,0.0139,1.85
окончательное решение еврейского вопроса,92,852,0.108,2.44
за что гитлер ненавидел евреев,92,554,0.1661,2.94
какие страны входили в антанту,91,3431,0.0265,1.5
освенцим концлагерь,91,645,0.1411,2.93
бабий яр что произошло,91,242,0.376,2.5
кто такие расисты простыми словами,91,137,0.6642,1.0
голос адольфа гитлера,91,132,0.6894,1.38
ева браун,90,63041,0.0014,7.86
кто освободил освенцим,90,2792,0.0322,5.33
концентрационные лагеря список,90,310,0.2903,1.17
кто начал первую мировую войну,89,10431,0.0085,5.48
нарастание агрессии в мире в 1930-х гг кратко,89,308,0.289,1.87
кристал нахт,89,296,0.3007,3.48
концлагеря фашистов,89,194,0.4588,1.99
как умирали в газовых камерах,89,160,0.5562,2.51
первая мировая война вкратце,89,111,0.8018,1.36
вторая мировая война началась,88,6263,0.0141,2.27
гитлерюгенд это,88,5404,0.0163,3.65
список шиндлера реальная история,88,1085,0.0811,3.69
противники россии в первой мировой войне,88,327,0.2691,1.02
1 я мировая война кто с кем воевал,88,191,0.4607,1.01
хронология второй мировой войны таблица,88,130,0.6769,1.0
доклад первая мировая война,88,112,0.7857,1.18
свидетели иеговы,87,35375,0.0025,9.53
когда закончилась 2 мировая война,87,7109,0.0122,2.78
сколько длилась вторая мировая война,87,6009,0.0145,1.62
почему евреев не любили,87,1864,0.0467,4.78
ссср и германия напали на польшу,87,739,0.1177,3.39
лагерь смерти освенцим,87,436,0.1995,2.19
халакост,86,10297,0.0084,4.22
фашистская свастика,86,9501,0.0091,3.91
освенцим где находился,86,969,0.0888,1.25
освенцим опыты,86,454,0.1894,3.85
расист простыми словами,86,182,0.4725,1.04
хронология второй мировой,86,114,0.7544,1.13
"в августе 1945 года великобритания, франция, ссср и сша подписали  лондонское соглашение и хартию международного военного трибунал. самый  крупный процесс международного военного трибунала",85,8353,0.0102,3.14
договор о ненападении между германией и ссср был подписан,85,5281,0.0161,3.47
анте павелич,85,3695,0.023,4.44
версальский договор 1919 кратко,85,854,0.0995,2.61
карта третьего рейха,85,453,0.1876,1.04
освобождение концлагерей,85,128,0.6641,1.9
первая мировая война краткое содержание,85,115,0.7391,1.0
вторая мировая война ход событий,85,104,0.8173,1.0
состав антанты,84,2996,0.028,1.19
24 апреля 1915,84,2674,0.0314,1.14
олимпийские игры 1936,84,2390,0.0351,2.83
выступление гитлера,84,1212,0.0693,3.22
начало первой мировой войны кратко,84,464,0.181,3.64
какие страны воевали на стороне гитлера,84,364,0.2308,2.37
гитлер про евреев,84,363,0.2314,2.04
какие страны захватила германия до нападения на ссср,84,274,0.3066,1.05
политика гитлера,84,219,0.3836,3.26
нюрнбергский процесс подсудимые,84,191,0.4398,1.01
почему гитлер сжигал евреев,84,142,0.5915,1.22
гитлер голос,84,138,0.6087,2.29
османская империя карта,83,12349,0.0067,6.28
гимн нацистской германии,83,4308,0.0193,7.27
свастика что означает,83,2112,0.0393,1.09
ужасы освенцима,83,767,0.1082,5.53
история гитлера кратко,83,96,0.8646,1.03
геббельс,82,59094,0.0014,9.79
гитлер дата рождения,82,11708,0.007,2.69
что такое освенцим,82,2689,0.0305,3.08
антигитлеровская коалиция страны участники,82,817,0.1004,1.66
значение свастики,82,619,0.1325,1.1
первая мировая война 10 класс,82,483,0.1698,2.15
когда они пришли,82,270,0.3037,3.44
как вели себя немцы на оккупированных территориях,82,202,0.4059,1.0
гитлер история,82,199,0.4121,2.56
все про первую мировую войну,82,152,0.5395,3.47
юлиус штрейхер,81,3283,0.0247,2.92
концлагерь дахау,81,1258,0.0644,4.42
идеология гитлера,81,1087,0.0745,4.09
кто устроил геноцид армян,81,747,0.1084,2.44
